index,model_name,temperature,start_time,end_time,response,prompt_task,task_number,prompt_name,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat,intelligence
9acdb965f67a6f8fc6b7a27f31633d91.pickle,GPT-3.5-Turbo,baseline,2024-19-06_07:24:38,2024-19-06_07:24:40,"apple, chair, happiness, mountain, elephant, book, sunlight, hammer, love, ocean",baseline,1,baseline_prompt_1,apple,chair,happiness,mountain,elephant,book,sunlight,hammer,love,ocean,78.982544,LLMs
553a99a05e02afa55f1a770ec4c3a80d.pickle,GPT-3.5-Turbo,baseline,2024-20-06_17:27:04,2024-20-06_17:27:06,"ocean, chair, happiness, mountain, book, tree, love, cloud, bicycle, freedom",baseline,1,baseline_prompt_1,ocean,chair,happiness,mountain,book,tree,love,cloud,bicycle,freedom,72.45611,LLMs
7337d76a0a8d4d8b52e3312daaecf7db.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:39:56,2024-18-06_20:39:58,"dog, chair, love, tree, happiness, book, car, ocean, hat, music",baseline,1,baseline_prompt_1,dog,chair,love,tree,happiness,book,car,ocean,hat,music,73.041,LLMs
ed8b7589c01a0b885c5371ead41a512f.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:53:28,2024-17-06_10:53:30,"tree, book, happiness, spoon, cloud, chair, moon, music, car, butterfly",baseline,1,baseline_prompt_1,tree,book,happiness,spoon,cloud,chair,moon,music,car,butterfly,78.07777,LLMs
7b5434f62b8d2b5bd8a78b4f7fae2de8.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:42:06,2024-18-06_20:42:10,"""dog, banana, happiness, table, umbrella, mountain, book, computer, flower, music""",baseline,1,baseline_prompt_1,dog,banana,happiness,table,umbrella,mountain,book,computer,flower,music,78.004906,LLMs
80f4ede47ff7dc280a926eee93b1e436.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:40:19,2024-18-06_20:40:21,"book, banana, chair, love, tree, car, happiness, hammer, cloud, music",baseline,1,baseline_prompt_1,book,banana,chair,love,tree,car,happiness,hammer,cloud,music,75.016014,LLMs
f4cff5489e8ed45118968dec6bc74117.pickle,GPT-3.5-Turbo,baseline,2024-20-06_17:26:44,2024-20-06_17:26:46,"book, chair, love, banana, sky, music, courage, coffee, dog, happiness",baseline,1,baseline_prompt_1,book,chair,love,banana,sky,music,courage,coffee,dog,happiness,76.37778,LLMs
fb78fa298a29f1747d3210ce9256eb76.pickle,GPT-3.5-Turbo,baseline,2024-19-06_07:23:42,2024-19-06_07:23:44,"""chair, banana, love, mountain, computer, happiness, book, elephant, sunlight, music""",baseline,1,baseline_prompt_1,chair,banana,love,mountain,computer,happiness,book,elephant,sunlight,music,76.794525,LLMs
37332b3d1df6e981c4bdcffd8131ae0d.pickle,GPT-3.5-Turbo,baseline,2024-19-06_07:24:01,2024-19-06_07:24:04,"""apple, table, love, book, car, sky, music, tree, happiness, spoon""",baseline,1,baseline_prompt_1,apple,table,love,book,car,sky,music,tree,happiness,spoon,74.31553,LLMs
02b4ad40154bad899067f204307421ff.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:43:24,2024-18-06_20:43:26,"book, chair, love, tree, car, happiness, water, music, phone, bread",baseline,1,baseline_prompt_1,book,chair,love,tree,car,happiness,water,music,phone,bread,74.634056,LLMs
fd2fba44007e77192262df914604283e.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:44:24,2024-17-06_10:44:27,"dog, book, happiness, chair, sun, cloud, time, rock, water, laughter",baseline,1,baseline_prompt_1,dog,book,happiness,chair,sun,cloud,time,rock,water,laughter,74.51441,LLMs
7402a624a6f52318da25afe23437cfcc.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:52:14,2024-17-06_10:52:16,"dog, chair, happiness, tree, banana, umbrella, love, book, mountain, computer",baseline,1,baseline_prompt_1,dog,chair,happiness,tree,banana,umbrella,love,book,mountain,computer,72.11197,LLMs
db1781ac292d33170e7f1d79b45358c9.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:53:14,2024-17-06_10:53:16,"""book, chair, happiness, mountain, dog, umbrella, freedom, ocean, apple, laughter""",baseline,1,baseline_prompt_1,book,chair,happiness,mountain,dog,umbrella,freedom,ocean,apple,laughter,75.3691,LLMs
c6d9dd3ff20147325a1a2dc707585025.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:54:16,2024-17-06_10:54:18,"ocean, bicycle, happiness, book, hammer, cloud, tree, museum, love, laughter",baseline,1,baseline_prompt_1,ocean,bicycle,happiness,book,hammer,cloud,tree,museum,love,laughter,79.46569,LLMs
e83537188b7faff9bd8cf2250d55b6ab.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:48:17,2024-17-06_10:48:20,"dog, chair, love, mountain, book, banana, freedom, car, music, cloud",baseline,1,baseline_prompt_1,dog,chair,love,mountain,book,banana,freedom,car,music,cloud,75.156006,LLMs
5701226de87f2363339573c3388a727d.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:39:54,2024-18-06_20:39:56,"bird, chair, freedom, banana, computer, love, mountain, book, sunset, laughter",baseline,1,baseline_prompt_1,bird,chair,freedom,banana,computer,love,mountain,book,sunset,laughter,76.057465,LLMs
cd0407e38b5a47dda1b960c633b8fe15.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:49:49,2024-17-06_10:49:51,"dog, mountain, book, happiness, chair, sunflower, music, bicycle, ocean, cloud",baseline,1,baseline_prompt_1,dog,mountain,book,happiness,chair,sunflower,music,bicycle,ocean,cloud,79.88915,LLMs
6397b149d84f80fec9f8688eb278137c.pickle,GPT-3.5-Turbo,baseline,2024-20-06_17:23:51,2024-20-06_17:23:54,"dog, moon, happiness, chair, pineapple, courage, book, cloud, laughter, door",baseline,1,baseline_prompt_1,dog,moon,happiness,chair,pineapple,courage,book,cloud,laughter,door,78.488815,LLMs
e2e539db959b09b5c51b6d45605d8404.pickle,GPT-3.5-Turbo,baseline,2024-19-06_07:25:15,2024-19-06_07:25:17,"dog, book, happiness, tree, car, ocean, music, basketball, chair, sun",baseline,1,baseline_prompt_1,dog,book,happiness,tree,car,ocean,music,basketball,chair,sun,75.552704,LLMs
187f06658cd037234f50961fdf3f4c6a.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:46:51,2024-17-06_10:46:53,"apple, chair, love, book, sun, music, mountain, happiness, airplane, diamond",baseline,1,baseline_prompt_1,apple,chair,love,book,sun,music,mountain,happiness,airplane,diamond,74.13124,LLMs
ff24d6c6326f43d9785e411aea113544.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:37:37,2024-18-06_20:37:40,"table, elephant, happiness, hammer, chair, banana, love, mountain, book, galaxy",baseline,1,baseline_prompt_1,table,elephant,happiness,hammer,chair,banana,love,mountain,book,galaxy,74.90376,LLMs
20f3fa08202162e53fdcedb1b3620474.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:36:21,2024-18-06_20:36:23,"chair, apple, happiness, mountain, book, car, oxygen, laughter, lamp, river",baseline,1,baseline_prompt_1,chair,apple,happiness,mountain,book,car,oxygen,laughter,lamp,river,80.88342,LLMs
21c945548190c9820323f78ddfc0760a.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:42:25,2024-18-06_20:42:28,"apple, chair, love, book, car, tree, happiness, phone, music, ocean",baseline,1,baseline_prompt_1,apple,chair,love,book,car,tree,happiness,phone,music,ocean,74.84465,LLMs
b3d16a1bd2b5e1096fa1570fbda21556.pickle,GPT-3.5-Turbo,baseline,2024-20-06_17:22:27,2024-20-06_17:22:29,"flower, chair, happiness, mountain, book, sunset, tree, laptop, freedom, ocean",baseline,1,baseline_prompt_1,flower,chair,happiness,mountain,book,sunset,tree,laptop,freedom,ocean,73.17813,LLMs
08d345a4897e3db96e169435f3950450.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:43:28,2024-17-06_10:43:30,"dog, table, happiness, book, ocean, car, mountain, pencil, music, sun",baseline,1,baseline_prompt_1,dog,table,happiness,book,ocean,car,mountain,pencil,music,sun,75.55194,LLMs
e2216f4f2778543c995b21fc109b3791.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:47:24,2024-17-06_10:47:27,"tree, car, love, book, rock, dream, chair, ocean, laughter, sun",baseline,1,baseline_prompt_1,tree,car,love,book,rock,dream,chair,ocean,laughter,sun,71.38784,LLMs
3ea3ad0c5ab0e4d9c14bb8222b7302a1.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:42:50,2024-17-06_10:42:53,"apple, chair, happiness, ocean, hammer, elephant, laptop, freedom, mountain, book",baseline,1,baseline_prompt_1,apple,chair,happiness,ocean,hammer,elephant,laptop,freedom,mountain,book,79.52369,LLMs
e559b3a4e1dc3e17ea264dece20481ae.pickle,GPT-3.5-Turbo,baseline,2024-19-06_07:25:57,2024-19-06_07:25:59,"""chair, apple, happiness, ocean, book, hammer, cloud, guitar, diamond, bicycle""",baseline,1,baseline_prompt_1,chair,apple,happiness,ocean,book,hammer,cloud,guitar,diamond,bicycle,80.763275,LLMs
b741918568f3e6787dcd5e73aec73820.pickle,GPT-3.5-Turbo,baseline,2024-20-06_17:25:15,2024-20-06_17:25:17,"""car, tree, love, pencil, camera, happiness, chair, book, ocean, moon""",baseline,1,baseline_prompt_1,car,tree,love,pencil,camera,happiness,chair,book,ocean,moon,76.51572,LLMs
73b1daba34f518084c561c894a4b0282.pickle,GPT-3.5-Turbo,baseline,2024-20-06_17:23:59,2024-20-06_17:24:01,"""apple, chair, love, book, sun, elephant, freedom, mountain, music, clock""",baseline,1,baseline_prompt_1,apple,chair,love,book,sun,elephant,freedom,mountain,music,clock,75.80788,LLMs
0bedd6dce2416cbd62f08a038930bb24.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:48:34,2024-17-06_10:48:36,"chair, apple, happiness, book, elephant, mountain, microphone, love, bicycle, cloud",baseline,1,baseline_prompt_1,chair,apple,happiness,book,elephant,mountain,microphone,love,bicycle,cloud,80.91134,LLMs
ebd1ffd728cd7cd07a79a7dbb0e3ad72.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:50:40,2024-17-06_10:50:42,"chair, banana, love, guitar, cloud, mountain, book, fire, time, laughter",baseline,1,baseline_prompt_1,chair,banana,love,guitar,cloud,mountain,book,fire,time,laughter,78.2009,LLMs
e6f8f63ab0bc20591c66f6133afb7b86.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:44:51,2024-17-06_10:44:53,"dog, tree, happiness, book, bicycle, ocean, cloud, chair, music, butterfly",baseline,1,baseline_prompt_1,dog,tree,happiness,book,bicycle,ocean,cloud,chair,music,butterfly,76.63905,LLMs
98f22735af33432707543294cf424b0b.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:50:25,2024-17-06_10:50:28,"apple, chair, love, mountain, book, water, happiness, cloud, guitar, laughter",baseline,1,baseline_prompt_1,apple,chair,love,mountain,book,water,happiness,cloud,guitar,laughter,75.28566,LLMs
fa059455fe184af78a69d41fe2e2d47f.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:36:11,2024-18-06_20:36:13,"book, tree, happiness, car, water, chair, mountain, hat, music, pizza",baseline,1,baseline_prompt_1,book,tree,happiness,car,water,chair,mountain,hat,music,pizza,75.53691,LLMs
3ba3ff66b228908b9390ba73bc2b8b04.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:44:27,2024-17-06_10:44:29,"apple, chair, love, ocean, book, freedom, tree, happiness, car, music",baseline,1,baseline_prompt_1,apple,chair,love,ocean,book,freedom,tree,happiness,car,music,75.48735,LLMs
1bc6b1158ed8d308e0a3b1d0896045c6.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:50:03,2024-17-06_10:50:06,"car, tree, love, book, phone, elephant, music, ocean, chair, happiness",baseline,1,baseline_prompt_1,car,tree,love,book,phone,elephant,music,ocean,chair,happiness,74.75172,LLMs
d00a5a4acb650562f0841b2d6a3a6521.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:45:59,2024-17-06_10:46:02,"""dog, chair, love, book, tree, happiness, car, ocean, music, diamond""",baseline,1,baseline_prompt_1,dog,chair,love,book,tree,happiness,car,ocean,music,diamond,73.041,LLMs
0f44d37c7177a7bdfa581079f774e9c8.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:43:11,2024-17-06_10:43:13,"""book, chair, love, cloud, tree, happiness, computer, flower, truth, music""",baseline,1,baseline_prompt_1,book,chair,love,cloud,tree,happiness,computer,flower,truth,music,75.6474,LLMs
c1da93365c4a74fbdcefe5910ad48f65.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:50:52,2024-17-06_10:50:54,"apple, chair, love, elephant, guitar, freedom, mountain, book, cloud, happiness",baseline,1,baseline_prompt_1,apple,chair,love,elephant,guitar,freedom,mountain,book,cloud,happiness,76.25802,LLMs
a5f6e8468b2c00222c74fac31e6a2618.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:50:06,2024-17-06_10:50:08,"dog, chair, freedom, banana, computer, happiness, mountain, book, umbrella, galaxy",baseline,1,baseline_prompt_1,dog,chair,freedom,banana,computer,happiness,mountain,book,umbrella,galaxy,76.54826,LLMs
31436ee437bd9d9befe1480c91a1da68.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:46:32,2024-17-06_10:46:34,"""apple, table, happiness, mountain, book, chair, freedom, sun, car, music""",baseline,1,baseline_prompt_1,apple,table,happiness,mountain,book,chair,freedom,sun,car,music,76.26234,LLMs
a19dbd56ecc17552d414e31f5b01c113.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:40:26,2024-18-06_20:40:29,"apple, car, happiness, book, mountain, chair, love, tree, hammer, ocean",baseline,1,baseline_prompt_1,apple,car,happiness,book,mountain,chair,love,tree,hammer,ocean,75.78352,LLMs
8f6dc3c2837ce577d458c4cbd6c49cc7.pickle,GPT-3.5-Turbo,baseline,2024-19-06_07:23:05,2024-19-06_07:23:08,"""dog, table, happiness, guitar, mountain, book, love, cloud, chair, diamond""",baseline,1,baseline_prompt_1,dog,table,happiness,guitar,mountain,book,love,cloud,chair,diamond,74.371605,LLMs
f11f363af94649379e079ba30080f756.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:40:48,2024-18-06_20:40:51,"carrot, book, ocean, chair, cloud, hammer, love, computer, butterfly, music",baseline,1,baseline_prompt_1,carrot,book,ocean,chair,cloud,hammer,love,computer,butterfly,music,81.114235,LLMs
a7123dc22e377b382db095abee170937.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:45:12,2024-17-06_10:45:14,"""apple, chair, love, sky, book, hammer, freedom, tree, music, happiness""",baseline,1,baseline_prompt_1,apple,chair,love,sky,book,hammer,freedom,tree,music,happiness,77.44506,LLMs
1323dc2c56d923336d9354b5de4b22df.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:37:42,2024-18-06_20:37:45,"apple, chair, love, mountain, book, hammer, happiness, cloud, bicycle, clock",baseline,1,baseline_prompt_1,apple,chair,love,mountain,book,hammer,happiness,cloud,bicycle,clock,77.6921,LLMs
0c0ace952d5da141cf1bd54b4af023c8.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:48:27,2024-17-06_10:48:29,"""book, chair, love, tree, computer, happiness, spoon, ocean, time, music""",baseline,1,baseline_prompt_1,book,chair,love,tree,computer,happiness,spoon,ocean,time,music,77.19712,LLMs
e72ad7a7322aab852fe3cdcb082bcfdb.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:48:03,2024-17-06_10:48:05,"bird, computer, happiness, rock, umbrella, laughter, tree, book, ocean, chair",baseline,1,baseline_prompt_1,bird,computer,happiness,rock,umbrella,laughter,tree,book,ocean,chair,75.65858,LLMs
acb4dda95a2bb037cf0971d6e87ca1b7.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:43:06,2024-18-06_20:43:08,"flower, chair, happiness, mountain, computer, book, umbrella, love, guitar, sun",baseline,1,baseline_prompt_1,flower,chair,happiness,mountain,computer,book,umbrella,love,guitar,sun,78.02982,LLMs
8c6c553a80765b1db63ee9c0b067dbcb.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:36:47,2024-18-06_20:36:49,"guitar, banana, love, book, mountain, chair, light, shoe, music, spoon",baseline,1,baseline_prompt_1,guitar,banana,love,book,mountain,chair,light,shoe,music,spoon,75.289375,LLMs
5aef61253f397f5adbb0f4ba0a9d52a1.pickle,GPT-3.5-Turbo,baseline,2024-20-06_17:23:33,2024-20-06_17:23:36,"book, chair, happiness, tree, car, laptop, sunshine, ocean, dog, cake",baseline,1,baseline_prompt_1,book,chair,happiness,tree,car,laptop,sunshine,ocean,dog,cake,78.05687,LLMs
108834a33c333f0195cd817c0f9bc981.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:36:45,2024-18-06_20:36:47,"cat, table, happiness, book, mountain, car, love, chair, tree, ocean",baseline,1,baseline_prompt_1,cat,table,happiness,book,mountain,car,love,chair,tree,ocean,73.674484,LLMs
fb2ec419b5b08a3a3d90b09dcba9412e.pickle,GPT-3.5-Turbo,baseline,2024-20-06_17:26:59,2024-20-06_17:27:01,"""car, apple, chair, love, book, sun, dog, tree, money, happiness""",baseline,1,baseline_prompt_1,car,apple,chair,love,book,sun,dog,tree,money,happiness,74.19735,LLMs
