user_id,class_session,gender,race_ethnicity,age,english_comfort,education,consent,major,newsletter,language,region,program_type,individual_exercise_id,individual_score,individual_completed_at,individual_ai_model,individual_duration,individual_word_1,individual_word_2,individual_word_3,individual_word_4,individual_word_5,individual_word_6,individual_word_7,individual_word_8,individual_word_9,individual_word_10,individual_uniqueness,augmented_pair_exercise_id,augmented_pair_score,augmented_pair_completed_at,augmented_pair_ai_model,augmented_pair_duration,augmented_pair_word_1,augmented_pair_word_2,augmented_pair_word_3,augmented_pair_word_4,augmented_pair_word_5,augmented_pair_word_6,augmented_pair_word_7,augmented_pair_word_8,augmented_pair_word_9,augmented_pair_word_10,augmented_pair_machine_word_1,augmented_pair_machine_word_2,augmented_pair_machine_word_3,augmented_pair_machine_word_4,augmented_pair_machine_word_5,augmented_pair_machine_word_6,augmented_pair_machine_word_7,augmented_pair_machine_word_8,augmented_pair_machine_word_9,augmented_pair_machine_word_10,augmented_pair_ai_score,augmented_pair_uniqueness,augmented_pair_machine_uniqueness
645,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Moderately comfortable with English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2041,77.45790100097656,2025-03-17 07:42:24.851023,,,面包,麻将,仙女,牙膏,鸡蛋,水星,章鱼,车子,手链,小鸟,81.4767,2044,,,,,,,,,,,,,,,[],,,,,,,,,,,,
646,ALV Company Guest Lecture by Prof. Wang,Man,Asian,25-34,Uncomfortable with English,Bachelor's degree,1,,0,ch,Asia,Academic Workshop,2047,85.2228012084961,2025-03-17 07:42:37.027966,,,火箭,马桶,方便面,袜子,细胞,言语,志向,家庭,井水,毛发,82.852,2050,,,,,,,,,,,,,,,[],,,,,,,,,,,,
647,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,35-44,Uncomfortable with English,Bachelor's degree,1,,0,ch,Asia,Academic Workshop,2053,82.86840057373047,2025-03-17 07:39:25.893368,,,大米,山脉,鞋子,西红柿,老虎,筷子,花盆,天空,头发,房子,82.4275,2056,,,,,,,,,,,,,,,[],,,,,,,,,,,,
649,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2065,64.29199981689453,2025-03-17 07:40:03.789409,,,coffee,desk,chair,table,banana,water,umbrella,book,notebook,bottle,78.825,2068,,,,,,,,,,,,,,,[],,,,,,,,,,,,
651,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Moderately comfortable with English,Master's degree,1,,0,en,Asia,Academic Workshop,2071,93.33540344238281,2025-03-17 07:42:19.519341,,,桌子,宇宙,火山,闺蜜,收获,无人机,鞋垫,蚂蚁,天气,灯泡,87.3398,2076,,,,,,,,,,,,,,,[],,,,,,,,,,,,
653,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,35-44,Uncomfortable with English,Master's degree,1,,0,en,Asia,Academic Workshop,2089,69.84750366210938,2025-03-17 07:42:19.516649,,,食品,建筑,学校,就业,科技,养老,战争,分配,教育,财富,81.1393,2092,,,,,,,,,,,,,,,[],,,,,,,,,,,,
656,ALV Company Guest Lecture by Prof. Wang,Man,Asian,35-44,Uncomfortable with English,Bachelor's degree,1,,0,ch,Asia,Academic Workshop,2101,80.17330169677734,2025-03-17 07:41:25.856640,,,飞机,饼干,火柴,玩具车,洗洁精,汽油,水,衣服,火星,哪吒,82.6932,2104,,,,,,,,,,,,,,,[],,,,,,,,,,,,
657,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2113,78.93699645996094,2025-03-17 07:42:19.550037,,,apple,shirt,computer,mall,nose,math,mood,party,wisdom,air,79.8593,2116,,,,,,,,,,,,,,,[],,,,,,,,,,,,
658,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2119,77.4906997680664,2025-03-17 07:40:02.169067,,,apple,teacher,table,art,psychology,clothing,train,birds,engine,steel,79.8723,2122,,,,,,,,,,,,,,,[],,,,,,,,,,,,
659,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2127,82.48760223388672,2025-03-17 07:42:13.809924,,,bicycle,whale,Fuel,Lipstick,Dot,salt,Woods,Seminar,Blockbuster,Urbanization,82.5557,2132,,,,,,,,,,,,,,,[],,,,,,,,,,,,
662,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2143,82.41850280761719,2025-03-17 07:42:19.526297,,,瓶子,细胞,信仰,哲学,利他,纤维,工程,电商,股票,大学,84.4598,2146,,,,,,,,,,,,,,,[],,,,,,,,,,,,
663,ALV Company Guest Lecture by Prof. Wang,Woman,Middle Eastern,35-44,Uncomfortable with English,Master's degree,1,,0,en,Asia,Academic Workshop,2149,75.24980163574219,2025-03-17 07:42:19.721202,,,苹果,婴儿,英语,火箭,金钱,思维,中医,健康,睡眠,情侣,79.1312,2152,,,,,,,,,,,,,,,[],,,,,,,,,,,,
665,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Moderately comfortable with English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2155,75.39649963378906,2025-03-17 07:42:33.065745,,,biscuits,paper,tree,desk,water,fog,bag,eagle,camera,landscape,79.4356,2158,,,,,,,,,,,,,,,[],,,,,,,,,,,,
664,ALV Company Guest Lecture by Prof. Wang,Man,Asian,Prefer not to say,Prefer not to say,Prefer not to say,1,,0,en,Asia,Academic Workshop,2161,86.2573013305664,2025-03-17 07:46:54.518201,,,cake,lotion,ballet,vessel,vehicle,trench,demeanor,setback,counter,imagination,84.2222,2164,,,,,,,,,,,,,,,[],,,,,,,,,,,,
666,ALV Company Guest Lecture by Prof. Wang,Man,Asian,35-44,Moderately comfortable with English,Bachelor's degree,1,,0,ch,Asia,Academic Workshop,2167,81.40950012207031,2025-03-17 07:42:27.566917,,,水,机器人,瑜伽,星空,魔方,无人机,电机,菠萝,床,风,82.8084,2170,,,,,,,,,,,,,,,[],,,,,,,,,,,,
667,ALV Company Guest Lecture by Prof. Wang,Man,Asian,35-44,Not a native English speaker but fluent in English,Master's degree,1,,0,en,Asia,Academic Workshop,2173,77.25869750976562,2025-03-17 07:42:22.044222,,,book,desk,coat,boat,hat,bowl,oil,noddle,dessert,box,80.5507,2176,,,,,,,,,,,,,,,[],,,,,,,,,,,,
669,ALV Company Guest Lecture by Prof. Wang,Man,Asian,25-34,Not a native English speaker but fluent in English,Master's degree,1,,0,en,Asia,Academic Workshop,2184,73.57450103759766,2025-03-17 07:42:37.834654,,,black,dog,love,religion,education,marriage,penalty,flower,watermelon,clothing,80.6428,2188,,,,,,,,,,,,,,,[],,,,,,,,,,,,
670,ALV Company Guest Lecture by Prof. Wang,Man,Asian,35-44,Uncomfortable with English,Associate's degree,1,,0,en,Asia,Academic Workshop,2197,83.84390258789062,2025-03-17 07:42:30.375952,,,牛肉,铅笔,裤子,头发,风,汽车,花盆,猫,咖啡,地板,82.5364,2200,,,,,,,,,,,,,,,[],,,,,,,,,,,,
672,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,35-44,Moderately comfortable with English,Bachelor's degree,1,,0,ch,Asia,Academic Workshop,2203,85.95890045166016,2025-03-17 07:41:50.207512,,,豆浆,老师,飞机,大海,熊猫,玫瑰花,扑克牌,春联,银行,手机,82.3789,2206,,,,,,,,,,,,,,,[],,,,,,,,,,,,
673,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,35-44,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2209,73.20819854736328,2025-03-17 07:40:12.265198,,,coffee,car,suit,shoes,time,pen,job,carpet,bag,news,78.6604,2212,,,,,,,,,,,,,,,[],,,,,,,,,,,,
675,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Moderately comfortable with English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2221,81.26360321044922,2025-03-17 07:42:21.803241,,,飞鼠,火箭,钢笔,双面胶,机器人,悬崖,孤独,帐篷,牙齿,篮球,83.9438,2224,,,,,,,,,,,,,,,[],,,,,,,,,,,,
676,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Moderately comfortable with English,Master's degree,1,,0,en,Asia,Academic Workshop,2227,80.36669921875,2025-03-17 07:42:48.690294,,,课本,头发,石头,地毯,汽车,咖啡,苦瓜,云朵,扑克牌,厕所,80.8862,2230,,,,,,,,,,,,,,,[],,,,,,,,,,,,
677,ALV Company Guest Lecture by Prof. Wang,Man,Asian,25-34,A native English speaker,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2233,82.11190032958984,2025-03-17 07:45:22.229790,,,汽车,灯光,牛肉,孩子,数学,水,云,老师,学生,山,80.921,2236,,,,,,,,,,,,,,,[],,,,,,,,,,,,
679,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,35-44,Prefer not to say,Other,1,,0,en,Asia,Academic Workshop,2245,84.41560363769531,2025-03-17 07:41:36.593778,,,注射器,空调,文件,笔记本,飞机,航空母舰,考试,大炮,马拉松,羽毛球,86.9446,2248,,,,,,,,,,,,,,,[],,,,,,,,,,,,
680,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,35-44,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2251,87.74620056152344,2025-03-17 07:40:02.257084,,,水杯,楼房,云朵,沙滩,裤子,钢笔,木马,桌子,钻石,头发,82.9091,2254,,,,,,,,,,,,,,,[],,,,,,,,,,,,
681,ALV Company Guest Lecture by Prof. Wang,Man,Prefer not to say,25-34,Prefer not to say,Bachelor's degree,1,,0,ch,Asia,Academic Workshop,2257,82.55829620361328,2025-03-17 07:40:00.412388,,,薯条,高楼,大山,白云,钢铁,砖石,衣服,马路,矿泉水,雨林,82.69,2260,,,,,,,,,,,,,,,[],,,,,,,,,,,,
682,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Moderately comfortable with English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2263,81.331298828125,2025-03-17 07:41:49.560695,,,签字笔,雨伞,门店,大海,钥匙,衣服,沙发,大厦,行政,消防,81.9331,2266,,,,,,,,,,,,,,,[],,,,,,,,,,,,
683,ALV Company Guest Lecture by Prof. Wang,Man,Asian,35-44,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2269,83.42150115966797,2025-03-17 07:42:28.078454,,,猫,手机,理想,财产,意识形态,芯片,海洋,河流,眼镜,美女,81.7748,2272,,,,,,,,,,,,,,,[],,,,,,,,,,,,
684,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Uncomfortable with English,Other,1,,0,ch,Asia,Academic Workshop,2275,70.40149688720703,2025-03-17 07:44:52.783351,,,家庭,关爱,房子,车子,鱼,亲情,食物,温暖,幸福,家人,79.7588,2278,,,,,,,,,,,,,,,[],,,,,,,,,,,,
685,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,35-44,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2281,76.45259857177734,2025-03-17 07:42:21.858999,,,apple,chair,light,rocket,shoe,honest,eye,ground,stone,car,78.3637,2284,,,,,,,,,,,,,,,[],,,,,,,,,,,,
688,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Moderately comfortable with English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2299,81.74140167236328,2025-03-17 07:40:22.252816,,,eggplant,pencil,bathtub,screen,bracelet,thought,dolphin,plastic,assistance,helicopter,82.1108,2302,,,,,,,,,,,,,,,[],,,,,,,,,,,,
689,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Not a native English speaker but fluent in English,Master's degree,1,,0,ch,Asia,Academic Workshop,2305,78.03739929199219,2025-03-17 07:40:15.105958,,,情感,模式,睡眠,电脑,衣服,枕头,前景,历史,过程,意愿,81.2668,2308,,,,,,,,,,,,,,,[],,,,,,,,,,,,
690,ALV Company Guest Lecture by Prof. Wang,Man,Asian,18-24,Not a native English speaker but fluent in English,Master's degree,1,,0,en,Asia,Academic Workshop,2311,76.97930145263672,2025-03-17 07:39:28.485597,,,rocket,dog,mint,coffee,waterfall,straw,blue,coat,rain,plastic,79.9464,2314,,,,,,,,,,,,,,,[],,,,,,,,,,,,
691,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Uncomfortable with English,Other,1,,0,ch,Asia,Academic Workshop,2317,83.50559997558594,2025-03-17 07:45:40.748855,,,香水,显微镜,细菌,玉米,星星,卫生巾,铅笔,心脏,贴纸,飞机,83.7564,2320,,,,,,,,,,,,,,,[],,,,,,,,,,,,
692,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,18-24,Moderately comfortable with English,Bachelor's degree,1,,0,ch,Asia,Academic Workshop,2323,80.68789672851562,2025-03-17 07:41:48.573821,,,航天,科技,军事,领域,学术,蛋糕,账号,意义,学问,习题,85.7923,2326,,,,,,,,,,,,,,,[],,,,,,,,,,,,
693,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Moderately comfortable with English,Master's degree,1,,0,en,Asia,Academic Workshop,2329,85.7313003540039,2025-03-17 07:42:25.307945,,,花,火锅,羽毛球,太空人,鞋,美少女,猪肉,数学,头发,火,86.2516,2332,,,,,,,,,,,,,,,[],,,,,,,,,,,,
694,ALV Company Guest Lecture by Prof. Wang,Man,Asian,35-44,Uncomfortable with English,Bachelor's degree,1,,0,ch,Asia,Academic Workshop,2335,80.5083999633789,2025-03-17 07:42:31.491621,,,苹果,飞机,宇宙,机器人,手枪,洋娃娃,心理,文化,爱情,历史,81.417,2338,,,,,,,,,,,,,,,[],,,,,,,,,,,,
696,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,18-24,Uncomfortable with English,Other,1,,0,ch,Asia,Academic Workshop,2347,83.0376968383789,2025-03-17 07:41:48.590901,,,葡萄,桂花,飞机,钢笔,手表,靴子,冰淇淋,游乐园,潜水,豹子,83.7962,2350,,,,,,,,,,,,,,,[],,,,,,,,,,,,
697,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2353,82.38580322265625,2025-03-17 07:42:29.260615,,,Comb,Clothes,steel,Barbecue,ticket,Track,Flesh,Hut,earthquake,universe,82.2616,2356,,,,,,,,,,,,,,,[],,,,,,,,,,,,
699,ALV Company Guest Lecture by Prof. Wang,Woman,Prefer not to say,Prefer not to say,Uncomfortable with English,Prefer not to say,1,,0,ch,Asia,Academic Workshop,2365,77.44709777832031,2025-03-17 07:42:04.399539,,,你好,上课,唱歌,喜欢,不好,书包,头发,蛋糕,黑板,听课,81.6118,2368,,,,,,,,,,,,,,,[],,,,,,,,,,,,
701,ALV Company Guest Lecture by Prof. Wang,Man,Asian,35-44,Uncomfortable with English,Bachelor's degree,1,,0,ch,Asia,Academic Workshop,2377,73.33650207519531,2025-03-17 07:40:12.350049,,,猫,床,牙膏,马桶,电脑,书本,孩子,足球,飞机,海水,79.5805,2380,,,,,,,,,,,,,,,[],,,,,,,,,,,,
702,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,35-44,Not a native English speaker but fluent in English,Master's degree,1,,0,en,Asia,Academic Workshop,2383,82.67060089111328,2025-03-17 07:42:38.141635,,,flash,hardy,famous,counselor,education,hardworking,happy,hardly,well-educated,sunny,83.9521,2386,,,,,,,,,,,,,,,[],,,,,,,,,,,,
704,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,35-44,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2395,79.3853988647461,2025-03-17 07:42:03.991715,,,pizza,puzzle,vegetable,bicycle,train,power,powder,clock,coffee,cameraman,80.7633,2398,,,,,,,,,,,,,,,[],,,,,,,,,,,,
709,ALV Company Guest Lecture by Prof. Wang,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,1,,0,ch,Asia,Academic Workshop,2425,85.04519653320312,2025-03-17 07:41:49.549430,,,痔疮,黑洞,莲花,电子,闪电,石头,耳钉,发动机,沙发,彩虹,85.9298,2428,,,,,,,,,,,,,,,[],,,,,,,,,,,,
710,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,35-44,Moderately comfortable with English,Bachelor's degree,1,,0,ch,Asia,Academic Workshop,2431,76.9719009399414,2025-03-17 07:42:12.539749,,,家人,健康,旅行,书籍,运动,手机,信息,月亮,汉堡包,钢琴,82.2488,2434,,,,,,,,,,,,,,,[],,,,,,,,,,,,
711,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Uncomfortable with English,Other,1,,0,ch,Asia,Academic Workshop,2437,80.34629821777344,2025-03-17 07:42:04.102848,,,房屋,天空,草地,手机,馒头,热水,玻璃,水晶,黄金,耳钉,80.9206,2440,,,,,,,,,,,,,,,[],,,,,,,,,,,,
712,ALV Company Guest Lecture by Prof. Wang,Man,Asian,35-44,Not a native English speaker but fluent in English,Master's degree,1,,0,en,Asia,Academic Workshop,2443,81.21399688720703,2025-03-17 07:43:57.844633,,,giraffe,space,suit,chilli,moon,shoe,tooth,aircraft,airport,actor,80.9414,2446,,,,,,,,,,,,,,,[],,,,,,,,,,,,
713,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Uncomfortable with English,Other,1,,0,ch,Asia,Academic Workshop,2449,74.58760070800781,2025-03-17 07:42:44.193330,,,高楼,小鸟,飞机,眼镜,眼睛,指示牌,头发,肉夹馍,登山杖,手机,79.8975,2452,,,,,,,,,,,,,,,[],,,,,,,,,,,,
716,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,45-54,A native English speaker,Master's degree,1,,0,ch,Asia,Academic Workshop,2467,82.71170043945312,2025-03-17 07:42:04.575750,,,讲座,礼物,女士,夫妻,父亲,活动,钢笔,座位,生日,水果,83.9793,2470,,,,,,,,,,,,,,,[],,,,,,,,,,,,
717,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,18-24,Prefer not to say,Prefer not to say,1,,0,ch,Asia,Academic Workshop,2473,76.18250274658203,2025-03-17 07:42:26.999578,,,人生,学历,颜色,快乐,桌子,厨房,鞋子,电脑,教室,讲台,80.2582,2476,,,,,,,,,,,,,,,[],,,,,,,,,,,,
720,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Uncomfortable with English,Associate's degree,1,,0,ch,Asia,Academic Workshop,2491,79.23509979248047,2025-03-17 07:44:14.372622,,,小猫,香水,音响,食物,工作,电脑,服装,金钱,礼物,生活,80.4913,2494,,,,,,,,,,,,,,,[],,,,,,,,,,,,
721,ALV Company Guest Lecture by Prof. Wang,Man,Asian,45-54,Moderately comfortable with English,Bachelor's degree,1,,0,ch,Asia,Academic Workshop,2497,84.28839874267578,2025-03-17 07:40:17.968193,,,天空,森林,学生,机器,兔子,矿石,哲学,电灯,宇宙,微生物,81.5997,2500,,,,,,,,,,,,,,,[],,,,,,,,,,,,
722,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Uncomfortable with English,Associate's degree,1,,0,en,Asia,Academic Workshop,2503,79.8593978881836,2025-03-17 07:42:56.443353,,,carpet,lion,space,noodles,villa,car,tree,score,rose,rucksack,81.2125,2506,,,,,,,,,,,,,,,[],,,,,,,,,,,,
723,ALV Company Guest Lecture by Prof. Wang,Prefer not to say,Asian,25-34,Moderately comfortable with English,Prefer not to say,1,,0,ch,Asia,Academic Workshop,2509,90.5344009399414,2025-03-17 07:42:13.939544,,,锣鼓,贫困生,灯管,岁月,笔触,扎染,液体,误区,流感,砂轮,88.1475,2512,,,,,,,,,,,,,,,[],,,,,,,,,,,,
725,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,35-44,Uncomfortable with English,Bachelor's degree,1,,0,ch,Asia,Academic Workshop,2515,62.83810043334961,2025-03-17 07:44:05.738018,,,想象,学习,新鲜,不同,进步,优化,提升,改变,开创,提高,79.7682,2518,,,,,,,,,,,,,,,[],,,,,,,,,,,,
724,ALV Company Guest Lecture by Prof. Wang,Man,Asian,65 or Above,Not a native English speaker but fluent in English,Prefer not to say,1,,0,ch,Asia,Academic Workshop,2519,78.13890075683594,2025-03-17 07:42:04.598140,,,苹果,飞机,时钟,报纸,大楼,树木,鲨鱼,文件夹,月球,机器,79.8294,2524,,,,,,,,,,,,,,,[],,,,,,,,,,,,
726,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Uncomfortable with English,Bachelor's degree,1,,0,ch,Asia,Academic Workshop,2527,81.14929962158203,2025-03-17 07:43:16.604692,,,樱花,旅游,游戏,上班,公主,汉服,动漫,日剧,快乐,健康,82.2033,2530,,,,,,,,,,,,,,,[],,,,,,,,,,,,
