student_id,dat_1_en,dat_2_en,dat_3_en,dat_4_en,dat_5_en,dat_6_en,dat_7_en,dat_8_en,dat_9_en,dat_10_en,sex_en,ethnicity_en,province_en,major_en,college_en,admission_batch_en,candidate_type_en,foreign_language_en
250150244,pipe,car,wood,football,thermometer,sail,tears,dictionary,mermaid,cash,male,Hui,Yunnan,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150245,star,car,hammer,platter,dumbbell,tshirt,opera,skateboard,paint,plants,male,Han,Anhui,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150248,apple,future,star,newton,antimony,assassin,creed,mistletoe,downpour,foundation,male,Han,Guangdong,Clinical Medicine,Clinical College,Second-batch Undergraduate,Regular Unified Exam,English
250150251,strawberry,friend,hobby,badminton,pingpong,gym,diet,hotpot,barbecue,running,male,Han,Chongqing,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150254,green,mountain,universe,malatang,photograph,tour,speech,play,boring,madman,female,Han,Sichuan,Clinical Medicine,Clinical College,Second-batch Undergraduate,National Unified Exam,English
250150306,tractor,cow,egg,carrot,car,turkey,airplane,balloon,inflator,bread,female,Miao,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150310,school,family,garden,city,sky,cloud,station,leaf,subway,soldier,female,Tujia,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150312,fruit,red,fruit,berry,snack,hydrous,health,advantageous,green,awesome,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150315,soy,fabric,pirate,window,submarine,glue,flour,fireworks,haystack,trees,female,Buyi,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150316,pingpong,mahjong,banana,cola,popcorn,movie,wing,cellphone,computer,notebook,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150317,lychee,grape,idea,tolerate,inadequate,guasha,traffic,peaceful,action,lazy,male,Yi,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150319,moon,honey,squid,river,flame,sound,wind,saturn,ore,worker,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150321,milk,curtain,light,bitch,juice,airconditioner,chip,stamen,fiber,silk,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150324,subway,plaza,yangtze,moon,package,silk,march,devil,mushroom,firefighting,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150325,watermelon,shoelace,hoodie,airplane,fishhook,pet,hair,window,ocean,moon,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150346,soil,cloud,flock,router,canteen,shampoo,ambulance,sun,amusementpark,wristwatch,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150348,trees,cement,life,bread,seawater,interest,car,crosswalk,mailbox,zombie,male,Han,Shandong,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150349,tiger,galaxy,forest,grape,earthworm,plank,drink,airplane,cloud,universe,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150351,emotion,hurry,safe,flight,universe,stairs,mountain,star,wealth,success,female,Han,Jiangxi,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150354,spider,height,computer,luck,liver,sky,program,mothball,chair,pipa,female,Han,Hebei,Clinical Medicine,Clinical College,Second-batch Undergraduate,Unified Exam,English
250150401,rocket,chemistry,watermelon,stone,rice,answer,story,stock,reason,time,male,Tujia,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150411,freedom,love,balloon,spacecraft,nuke,pacific,university,medicine,life,dream,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150413,microwave,spatula,headshot,curtain,tea,toy,grains,sky,galaxy,gas,female,Zhuang,Guangxi,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150415,chopsticks,aerospace,house,airplane,cannon,rocket,platform,summit,pistol,spaceship,female,Miao,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150416,airplane,ant,star,bracelet,suitcase,pants,cellphone,skillet,console,road,female,Tujia,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150417,spider,birdie,ship,rail,box,brain,feces,squid,skyscraper,pencil,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150418,satellite,glass,bow,spear,shield,nunchucks,scabbard,whip,kunai,dart,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150419,banana,rifle,mosquito,marriage,rocket,homecoming,rope,writing,chemistry,forest,male,Dong,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,Japanese
250150420,table,drink,cup,headphones,lighter,notebook,rice,basestation,key,hat,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150421,spouse,mom,father,wife,prospects,doctor,death,past,pain,psychology,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150422,blueberry,bottle,game,flower,scissors,football,sweater,river,piano,constellation,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150423,forest,happy,eye,sleep,space,light,faith,blur,runway,introduction,male,Dong,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150424,hair,stairs,sky,fan,candy,chicken,pants,paper,pink,headphones,female,Hui,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150425,headphones,drawing,grape,paperplane,lakeside,boat,drift,island,lonely,homecoming,female,Yi,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150427,street,baozi,watermelon,playground,schoolbag,toothbrush,water,cellphone,airplane,psychology,female,Yi,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150428,toilet,eraser,badge,camera,bao,ocean,cockroach,rig,subway,roundworm,male,Han,Fujian,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150429,evaluation,behavior,time,wisdom,banana,studies,cost,director,campus,courier,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150430,angel,star,tangyuan,kitten,beagle,snake,cheese,tears,cloud,lamp,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150432,radish,alien,chair,hanfu,computer,camera,celebrity,goose,sunshine,typhoon,male,Tujia,Hubei,Clinical Medicine,Clinical College,Second-batch Undergraduate,Regular Gaokao,English
250150433,cotton,rocket,seed,space,soil,batting,loom,fruit,machine,life,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150434,carrier,wood,redflag,apple,scissors,hair,soymilk,viscera,pipe,playground,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150435,planet,void,cellphone,strawberry,car,notebook,level,gun,clothes,emotion,male,Yi,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150436,ability,study,cup,quilt,health,sport,safe,happy,family,economy,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150437,friend,love,cellphone,lamp,bicycle,bread,notes,sofa,autumn,coffee,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150438,cellphone,key,scissors,socks,shoes,book,pencil,eraser,umbrella,mask,female,Tujia,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150439,soymilk,rocket,rose,river,runway,rainwater,gold,paint,tablecloth,spoon,female,Zhuang,Guangxi,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150440,apple,water,nourish,hydration,beauty,drying,moisturize,spray,facewash,clean,female,Zhuang,Guangxi,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150441,cellphone,time,video,stock,policy,waste,factory,particle,universe,lifespan,female,Chuanqing,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150442,ideal,reality,bread,self,blur,travel,behavior,reward,iq,cake,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150444,pencil,cup,book,umbrella,eraser,schoolbag,alarm,key,towel,scissors,female,Han,Anhui,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150445,apple,hanger,foundation,airplane,confucianism,penholder,moon,base,runway,felt,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150446,bridge,desert,moss,can,basestation,onion,eagle,chip,turtle,lighter,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150447,soymilk,bmw,spaceship,computer,trees,advertisement,ai,school,brick,tie,male,Han,Fujian,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150448,cellphone,broccoli,squirrel,human-machine,microphone,rocket,basketball,fireworks,warship,wound,male,Han,Fujian,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150449,sage,emotion,cola,apple,amusementpark,airplane,china,love,history,personality,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150450,planet,echo,undertone,ether,entropy,qing,guitar,confucianism,catalyst,prism,female,Han,Guangdong,Clinical Medicine,Clinical College,Second-batch Undergraduate,Regular Unified Exam,English
250150451,rocket,beach,airplane,sneakers,folder,cake,dream,police,oath,flag,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150452,stone,box,soymilk,airplane,turtle,toad,canteen,red,swallow,crayon,female,Han,Shandong,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150454,humanity,banana,runway,angel,tissue,rocket,jupiter,pain,crocodile,dawn,female,Han,Henan,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150455,slipper,vermicelli,satellite,belt,paint,planet,cell,match,gut,island,female,Han,Hebei,Clinical Medicine,Clinical College,Second-batch Undergraduate,Unified Exam,English
250150513,courier,bread,food,coffee,campus,foam,animal,earth,soap,rose,male,Dong,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150522,train,soymilk,friend,courier,gift,safety,rocket,highway,watermelon,cup,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150524,pen,subway,coffee,windmill,branch,everything,countryman,joke,sign,bottleneck,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150526,mathematics,book,insole,hairdryer,song,eyesight,stereo,sash,sky,health,female,Tujia,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150527,everything,video,clothes,shoes,cup,grandmother,baozi,nature,child,humanity,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150529,lamp,hairdryer,tissue,detergent,hook,bucket,shoes,aloe,insecticide,umbrella,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150532,shoes,tree,squirrel,cookie,earthworm,brook,milktea,watermelon,baozi,dragon,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150534,banana,number,clothes,certificate,software,screw,brandname,jewelry,camera,house,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150551,wheel,chili,pocket,clothes,umbrella,headphones,house,glasses,brook,water,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150552,war,soil,fear,knight,apple,eyebrow,chair,victory,fantasy,famine,male,Han,Chongqing,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150553,love,nature,seasoning,rainbow,cloud,happy,shelf,wedding,beauty,country,female,Han,Henan,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150554,bed,pencil,music,rabbit,car,streamer,love,love,customer,machinery,female,Han,Fujian,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150601,house,car,robot,road,renminbi,car,stove,tableware,snack,flag,male,Chuanqing,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150606,sky,bedroom,slipper,water,pen,apple,hair,milktea,hotpot,hanger,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150622,like,pretty,fruit,red,cyan,delicious,tree,pretty,pit,gift,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150624,house,lover,song,cloud,singer,earth,sky,dream,ocean,chair,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150627,life,life,ending,information,work,study,fireworks,world,platform,safe,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150629,application,factory,beer,sunset,sunset,scrap,program,table,playground,passion,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150630,planet,umbrella,volcano,apple,shoes,pen,sword,spaceship,dragon,carpet,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150634,apple,roommate,thought,banana,orange,dragonfruit,kiwi,pomegranate,pineapple,mango,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150636,schoolbag,cellphone,copy,book,desk,pen,fruit,apple,banana,camera,male,Han,Henan,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150638,time,moonlight,memory,recollection,youth,concern,youth,snowflake,years,wonderful,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150639,panda,cola,monkey,forest,thicket,tobacco,platform,kang,timber,name,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150640,experiment,stain,curtain,stone,matter,white,cup,bracelet,friend,lecture,female,Han,Jiangxi,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150642,infancy,children,birdie,river,flower,flattery,market,scenery,spice,flower,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150643,universe,dream,moon,planet,astronaut,mountain,greenwater,happy,love,thinking,female,Yi,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150649,playground,seat,lecture,meeting,sky,house,airplane,mountains,river,kinship,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150651,blueprint,magma,galaxy,mars,rainbow,bridge,books,clover,steed,dolphin,female,Miao,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150652,peach,bracelet,cub,son,fan,windbreaker,backpack,bolster,piano,door,female,Miao,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150655,banana,abalone,ash,graphite,diamond,treasure,treasure,pearl,jade,downpour,female,Han,Hebei,Clinical Medicine,Clinical College,Second-batch Undergraduate,Unified Exam,English
250150701,tiger,sports,discipline,barbecue,beer,flame,posture,advance,family,interest,male,Gelao,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150703,baozi,lightspeed,mars,trees,cream,moon,saxophone,desolation,socket,generator,male,Miao,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150704,potato,champion,osmanthus,peony,tiger,panda,potato,olympics,athletics,ocean,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150705,hunk,apple,console,car,animal,mountain,textbook,person,glass,japan,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,Japanese
250150706,shoes,clothes,football,orange,banana,schoolhouse,runway,rocket,airplane,car,male,Miao,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150709,cola,opinion,robust,pretend,color,gaze,fall,proverb,encounter,solemn,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150710,novel,hat,headphones,firefighter,shoes,birdie,soil,glasses,hair,armpit,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150716,tomato,sun,moon,earth,desert,ocean,forest,sunflower,heart,beach,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150717,koala,strawberry,runway,sandwich,jacket,tricycle,crosswalk,sky,universe,earth,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150719,cucumber,steel,rainbow,virtue,rigorous,radiator,mirror,eye,balloon,truth,male,Chuanqing,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,Japanese
250150721,piano,justice,sunflower,universe,africa,poetry,excavator,hunk,gene,law,male,Han,Jiangxi,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150722,pear,cooking,humility,infrastructure,meditation,running,swimming,contract,wither,logic,male,Chuanqing,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150724,wrench,stamp,healthcare,melody,will,excavator,court,cruller,chopsticks,toothpaste,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150725,watermelon,rainbow,thicket,concrete,flag,camera,vehicle,bicycle,chopsticks,napkin,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150726,toothpaste,brush,seal,abacus,ruler,book,coin,satisfactory,shoes,instrument,male,Tujia,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150728,method,stairs,packet,link,reply,bar,customer,downpayment,milktea,congratulate,male,Han,Jiangxi,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150729,smile,path,psychology,forest,chimney,humanity,green,sky,mungbean,lawn,female,Yi,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150730,table,steel,mango,sky,universe,medicine,airplane,slide,wholesale,earth,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,Japanese
250150731,airplane,helicopter,rocket,submarine,artificial,lemon,robot,apple,blackboard,chili,female,Yi,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150732,mooncake,drink,flower,tea,wood,sky,intersection,supermarket,milktea,gum,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150733,tulip,dumpling,whale,alien,cow,cake,wall,ion,light,sunwukong,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150734,active,hobby,joy,freedom,freewheeling,messy,pattern,habit,passion,ideal,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150735,banana,clothes,waterheater,drink,water,milk,bread,airconditioner,id,charger,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150743,airplane,window,bed,rocket,spacestation,ocean,taichi,animal,word,photographer,male,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150748,tool,wisdom,ability,curiosity,manufacture,miracle,technology,reason,reason,soul,male,Han,Sichuan,Clinical Medicine,Clinical College,Second-batch Undergraduate,National Unified Exam,English
