index,source,subset,collection_date,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_dat_score,word_dropped,cue_model_name,cue_1,cue_2,cue_3,cue_4,cue_5,cue_6,cue_7,cue_8,cue_9,cue_10,cue_dat_score,cue_dropped,augment_1,augment_2,augment_3,augment_4,augment_5,augment_6,augment_7,augment_8,augment_9,augment_10,augment_dat_score,augment_dropped,demo_age,demo_gender,demo_country,demo_region,demo_ethnicity,demo_education,demo_major,demo_english_comfort,demo_program_type,demo_multilingual,extra_json
pnas_R_3CTrw42twmUzSOL,olson_pnas2021,study2,,Dinosaur,Tablecloth,Idea,Sand,Polygamy,Notice,Sadness,Atom,Funnel,Curve,84.36759,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Israel,,,,,,,TRUE,
pnas_R_DCa54ivl0WALgl3,olson_pnas2021,study2,,rose,water,rake,hose,boat,diamond,tablet,cord,coffee,lace,79.47746,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,Australia,,,,,,,FALSE,
pnas_R_3FUOc2nN3NdPuO5,olson_pnas2021,study2,,tree,car,rock,lake,fish,frige,broom,house,fig,rope,69.7281,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Male,Australia,,,,,,,FALSE,
pnas_R_1gcFCyOUCFwS5m2,olson_pnas2021,study2,,spider,parachute,soil,circle,book,tile,hail,post,letter,scrub,83.77771,0,,,,,,,,,,,,,,,,,,,,,,,,,,70,Male,Australia,,,,,,,FALSE,
pnas_R_3LXab4NjOUC4Yfv,olson_pnas2021,study2,,Shoe,Quasar,Oil filter,Jellybean,Sand,Custard,Hammer,Radio,Knife,Spiderweb,88.254845,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,Australia,,,,,,,FALSE,
pnas_R_2TZwnp0T7WpcijF,olson_pnas2021,study2,,Pizza,Phone,Wacom,Bottle,Website,Sunscreen,Soccer,Wallet,Notebook,Glasses,79.72896,0,,,,,,,,,,,,,,,,,,,,,,,,,,18,Male,Australia,,,,,,,FALSE,
pnas_R_12kXHSsbh5g2mCr,olson_pnas2021,study2,,tree,planet,human,microscope,faeces,typewriter,stone,numbers,wifi,soil,81.01835,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Male,Australia,,,,,,,FALSE,
pnas_R_3MfhfWWjR3kqHYe,olson_pnas2021,study2,,chair,tree,cat,star,vacuum,waterspout,siren,sensibility,sink,nitrogen,86.78906,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,FALSE,
pnas_R_2Pp27PaBjJSn7BH,olson_pnas2021,study2,,golf club,ant,rock,jelly,concrete,lake,mountain,tree,insect,dinosaur,69.79138,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Male,United Kingdom of Great Britain and Northern Ireland,,,,,,,FALSE,
pnas_R_1rpKdO2VFsECVps,olson_pnas2021,study2,,shoe,umbrella,galaxy,child,sushi,desert,car,mother,novel,ocean,81.27557,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,United Kingdom of Great Britain and Northern Ireland,,,,,,,FALSE,
pnas_R_2fdoGhKzg5OUAG5,olson_pnas2021,study2,,green,peace,abseiling,pillow,kangaroo,tent,calculus,guitar,splinter,hungry,85.61656,0,,,,,,,,,,,,,,,,,,,,,,,,,,18,Female,Australia,,,,,,,FALSE,
pnas_R_2tJ4A9kbLQSjUAa,olson_pnas2021,study2,,Cloud,magna,black-hole,photon,light,happy,ill,sad,dead,heat,71.91827,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Male,New Zealand,,,,,,,FALSE,
pnas_R_Z33ZtRwlUuIYOZP,olson_pnas2021,study2,,Water,Sun,shirt,car,vacuum,sand,life,thought,numbers,physics,70.52056,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Denmark,,,,,,,TRUE,
pnas_R_3EQ11dj98w2n7aS,olson_pnas2021,study2,,Door,Foot,Table,Horse,Lamp,Battery,Bucket,Roof,Tree,Car,71.392715,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,FALSE,
pnas_R_6orvuRkCEc3lhtf,olson_pnas2021,study2,,arrow,cat,sky,egg,hair,wheat,electricity,ship,planet,tears,76.379875,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Male,Australia,,,,,,,TRUE,
pnas_R_3scWCVQ3MznxCJk,olson_pnas2021,study2,,fear,door,ship,circus,bike,ice,fish,peg,planet,atom,76.33474,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Male,Australia,,,,,,,FALSE,
pnas_R_33q0vnEsykemeek,olson_pnas2021,study2,,star,baby,cloud,pencil,chocolate,lava,football,wood,glass,beanie,79.94405,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,FALSE,
pnas_R_O7pdc76MUdM43xn,olson_pnas2021,study2,,ice,hand sanitiser,watch,nail polish,bread crumbs,telephone,highlighter,xray,drawer,shower,86.41503,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Australia,,,,,,,FALSE,
pnas_R_1FqUrra95OmdBB7,olson_pnas2021,study2,,fart,window,yellow,sadness,astrophysics,elephant,marble,chlorophyll,dirty,freedom,84.180016,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,TRUE,
pnas_R_1PY6SjnY83wwaiM,olson_pnas2021,study2,,summer,winter,food,pregnancy,teeth,kettle,farting,toenail,stars,polkadots,78.338066,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Female,Australia,,,,,,,FALSE,
pnas_R_yEF5hwPI9VtDgqt,olson_pnas2021,study2,,Paper,House,Bicycle,Internet,Gun,Island,Open,Prison,Ice,Test,75.98079,0,,,,,,,,,,,,,,,,,,,,,,,,,,18,Male,United Kingdom of Great Britain and Northern Ireland,,,,,,,FALSE,
pnas_R_06CAKhLwn7S4vnP,olson_pnas2021,study2,,cheese,dog,snake,computer,whiteboard,receipt,business card,program,glasses,school,82.31807,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Hong Kong (S.A.R.),,,,,,,TRUE,
pnas_R_2UfjiamN1gBL8Hh,olson_pnas2021,study2,,Vase,Moon,Chair,Wood,Toilet,Spatula,Brick,Pole,Cat,Muscle,74.28462,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,Male,Australia,,,,,,,FALSE,
pnas_R_1DHV1n2SbfrQXfM,olson_pnas2021,study2,,doll,tractor,soil,air,fire,cup,plate,fork,spoon,knife,,1,,,,,,,,,,,,,,,,,,,,,,,,,,55,Female,Australia,,,,,,,FALSE,
pnas_R_2SHKa8KLLjQKnQY,olson_pnas2021,study2,,Phoenix,Cloud,Bearer,Lava,Xylophone,Toothbrush,Enzyme,Sunflower,Wave,Pitch,89.72303,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,Australia,,,,,,,TRUE,
pnas_R_1LwM7qtXu7gVyn3,olson_pnas2021,study2,,brick,rainbow,steeple,moon,round,keys,band,sticker,fabric,flame,79.07812,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Australia,,,,,,,FALSE,
pnas_R_7UwAzJ8K9ynjWHT,olson_pnas2021,study2,,Blanket,Cloud,Cat,Vehicle,Juice,Neutron,Career,Rose,Ocean,Boy,86.11029,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,New Zealand,,,,,,,FALSE,
pnas_R_1lyp80n9YTPykpt,olson_pnas2021,study2,,fried,death,compost,hatred,discovery,war,nutty,castle,demonic,donkey,81.59367,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,FALSE,
pnas_R_2YnxjS3rNEjLmKS,olson_pnas2021,study2,,plate,tooth,submarine,schedule,rotisserie,broom,tube,ice,book,chili,84.56964,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,France,,,,,,,TRUE,
pnas_R_1k2poIWnTtXC1ge,olson_pnas2021,study2,,Rhinoceros,Deskchair,Galaxy,Microchip,Typo,Brakelight,Soda,Bacteria,Toenail,Dragon,86.08407,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,Male,Australia,,,,,,,FALSE,
pnas_R_1DU3z27oPXXekjZ,olson_pnas2021,study2,,cat,water,fire,cloud,cancer,chair,helicopter,planet,crossword,love,76.49385,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Male,Australia,,,,,,,TRUE,
pnas_R_2Ezb9S538oIIqte,olson_pnas2021,study2,,House,Flower,Pencil,Anemone,Silk,Star,Dice,Pepper,Number,Air,78.57016,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Yemen,,,,,,,TRUE,
pnas_R_s6StnGxNkuE9atX,olson_pnas2021,study2,,Xylophone,Aardvark,Space,Time,Computer,Eel,Ring,Matter,Plant,Psychologist,86.445564,0,,,,,,,,,,,,,,,,,,,,,,,,,,18,Male,Australia,,,,,,,FALSE,
pnas_R_2waGiVCvb13AkOa,olson_pnas2021,study2,,floor,game,amber,hair,road,bark,skyscraper,iguana,bottle,chasm,82.80055,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,Australia,,,,,,,FALSE,
pnas_R_3R2fvMEFjf6b35S,olson_pnas2021,study2,,Table,Flower,Dirt,Car,Jacket,Tv,Fridge,Window,Necklace,Umbrella,74.02614,0,,,,,,,,,,,,,,,,,,,,,,,,,,18,Male,Australia,,,,,,,FALSE,
pnas_R_25XgDEWMQM3SwlR,olson_pnas2021,study2,,Bones,Plastic,Waves,Stardust,Digestive,Alacraty,Fuel,Trees,Wheel,Carrot,81.81459,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,FALSE,
pnas_R_2upkvUlDy5X9kCg,olson_pnas2021,study2,,Dark,Shallow,Iridescent,Fuzzy,Stale,Boiling,Torn,Stolen,Solid,Soiled,73.58861,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Australia,,,,,,,FALSE,
pnas_R_2WUS8E4oHEks3To,olson_pnas2021,study2,,bean,thatch,plumbing,soil,microbe,sense,rich,moral,hanging,green,80.17285,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,Male,Australia,,,,,,,FALSE,
pnas_R_2zbC6fFgAtse9ff,olson_pnas2021,study2,,Woman,Snail,Pier,Moss,Road,Button,Pot,Air,Music,Dirt,82.38003,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Female,Argentina,,,,,,,TRUE,
pnas_R_Do8p7BIWabPgVfb,olson_pnas2021,study2,,chair,leaf,toilet,sky,television,train,trousers,lipstick,cot,toy,79.49246,0,,,,,,,,,,,,,,,,,,,,,,,,,,65,Female,Australia,,,,,,,FALSE,
pnas_R_ugMJmI8xGU9C001,olson_pnas2021,study2,,knife,brick,staff,shield,coat,block,armour,gun,bomb,sheath,73.6719,0,,,,,,,,,,,,,,,,,,,,,,,,,,65,Female,United Kingdom of Great Britain and Northern Ireland,,,,,,,FALSE,
pnas_R_1l4dKTfNYRySBV5,olson_pnas2021,study2,,turtle,frog,tree,cloud,nose,beer,water,grapes,sky,helicopter,70.45927,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Female,Australia,,,,,,,FALSE,
pnas_R_2uqvDNIpZHIa208,olson_pnas2021,study2,,fish,cane,bus,outrage,genius,stumps,blood,disgrace,knickers,restaurant,84.92222,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,United Kingdom of Great Britain and Northern Ireland,,,,,,,TRUE,
pnas_R_3r5CMd1oxtYLF7z,olson_pnas2021,study2,,brick,pencil,fish,balloon,grass,asteroid,water,plastic,teacher,motorbike,77.5285,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Male,Australia,,,,,,,FALSE,
pnas_R_2y9lRsF3VS85iMk,olson_pnas2021,study2,,pigeon,date,tease,count,boredom,six,taint,legend,charisma,joint,84.191895,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Australia,,,,,,,TRUE,
pnas_R_3NzdCDy7KQa18N4,olson_pnas2021,study2,,Moon,Plate,Dog,Surfboard,Pencil,Shoe,Car,Tree,Ice,Kite,77.35511,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,FALSE,
pnas_R_2xKtCDQFLSendnE,olson_pnas2021,study2,,Ball,Towel,Toffee,Bluetack,Sunglasses,Trumpet,Floss,Shovel,Vacuum,Carwheel,81.23337,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,Male,Australia,,,,,,,FALSE,
pnas_R_C14kcrREkcNcCiZ,olson_pnas2021,study2,,Anger,Faith,Dancing,Forests,Relief,Coffee,Travel,Languages,Boots,Spectacles,79.548195,0,,,,,,,,,,,,,,,,,,,,,,,,,,65,Female,Australia,,,,,,,FALSE,
pnas_R_2Pdn1aUGX2PmWXp,olson_pnas2021,study2,,big,small,black,excitement,gum,water,book,territory,simplicity,difficulty,72.36198,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Female,Australia,,,,,,,FALSE,
pnas_R_Rnxnty2SvipMr9T,olson_pnas2021,study2,,Door,ChiLd,Plant,Hammer,Oxygen,Shoe,Blanket,Cot,Apple,Car,78.23538,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Australia,,,,,,,FALSE,
pnas_R_vdkMKHanLa2I6PL,olson_pnas2021,study2,,chair,paint,mirror,tube,avocado,ice,sun,jade,salt,smoke,75.48656,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Female,Australia,,,,,,,FALSE,
pnas_R_3D1EMPlyrmQOI2c,olson_pnas2021,study2,,bread,lead,flower,hairpin,dog,eye,rust,toaster,bed,fence,79.691574,0,,,,,,,,,,,,,,,,,,,,,,,,,,70,Female,Australia,,,,,,,FALSE,
pnas_R_cOYJJpCYMKkQ3eh,olson_pnas2021,study2,,apple,moon,equator,roadwork,plumage,onomatopea,law court,morgue,fairy,typhoid fever,88.21508,0,,,,,,,,,,,,,,,,,,,,,,,,,,65,Female,,,,,,,,FALSE,
pnas_R_T65lykbatgFmwQF,olson_pnas2021,study2,,Dog,Spaceship,Cup,Pencil,Tree,Mathematics,Microplastics,Terra cotta,Love,Corkscrew,90.30086,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,Canada,,,,,,,TRUE,
pnas_R_AytkqeJjAzzhy4p,olson_pnas2021,study2,,letter,stadium,pilot,friend,magistrate,grant,dignity,church,wine,festival,80.52873,0,,,,,,,,,,,,,,,,,,,,,,,,,,70,Male,South Africa,,,,,,,TRUE,
pnas_R_u7KjPWhfOWKSg93,olson_pnas2021,study2,,paper,Moon,Road,horn,cow,panel,laptop,tea,SHOE,snake,79.51674,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Switzerland,,,,,,,TRUE,
pnas_R_1BVkVUHzZn82Eag,olson_pnas2021,study2,,table,goat,sea,kettle,tree,lighthouse,racquet,coat,eye,child,80.97219,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Female,Australia,,,,,,,FALSE,
pnas_R_2EuTkdx802Lc7Li,olson_pnas2021,study2,,Space,Agriculture,Automotive,Influenza,Television,Corporation,Crimson,Utopia,Music,Bucket,85.07084,0,,,,,,,,,,,,,,,,,,,,,,,,,,13,Male,Australia,,,,,,,FALSE,
pnas_R_10pWIrpsXEVxbig,olson_pnas2021,study2,,Chair,Roof,Street,Shop,Draw,Gun,Knife,Flower,Kangaroo,Cement,72.92005,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Female,Australia,,,,,,,FALSE,
pnas_R_3dLJWPeBSRik3wj,olson_pnas2021,study2,,Chair,Lemon,Shovel,Murray cod,Windscreen wiper,Pencil,Watch,Jumper,Beaker,Coffee pod,82.81455,0,,,,,,,,,,,,,,,,,,,,,,,,,,70,Male,Australia,,,,,,,FALSE,
pnas_R_UEMbu5yafdNbEZz,olson_pnas2021,study2,,Spoon,Aeroplane,slime,tree,eyeball,soap,ruler,telephone,shoe,pineapple,79.985344,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,Australia,,,,,,,FALSE,
pnas_R_3oLalCMpOTh2r9m,olson_pnas2021,study2,,car,tape,spaceship,cow,controller,ring,pipe,knob,shoe,saucepan,79.6849,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,FALSE,
pnas_R_2qF1cDjj3AK9MAo,olson_pnas2021,study2,,french polishing,vexed,peachy,flat foot,waif,clash,jagged,mixed,sateen,think,88.459435,0,,,,,,,,,,,,,,,,,,,,,,,,,,70,Female,United Kingdom of Great Britain and Northern Ireland,,,,,,,FALSE,
pnas_R_2t4CUGvwHvuRgFC,olson_pnas2021,study2,,love,rice,glass,rain,atom,button,leaf,asphalt,cube,gown,77.641335,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Australia,,,,,,,FALSE,
pnas_R_2e20hJRbiLVSnJi,olson_pnas2021,study2,,Friday,girl,holiday,giraffe,clock,paper,strawberry,iceberg,horizon,mountain,81.39234,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,Australia,,,,,,,FALSE,
pnas_R_2VEzrtRFFggM5HP,olson_pnas2021,study2,,cat,saucepan,desk,car,ball,plant,knife,coffee,icecream,hat,81.48847,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,United Kingdom of Great Britain and Northern Ireland,,,,,,,FALSE,
pnas_R_1jlc5x9bu9qyhm1,olson_pnas2021,study2,,llama,tree,office,piano,air,switch,potato,engine,moon,penguin,85.3258,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Male,Australia,,,,,,,FALSE,
pnas_R_1iqfFHln4TM54zg,olson_pnas2021,study2,,Serendipity,Angst,Balloon,Wildflower,Chassis,Egg,Comet,Sandal,Rooster,Dream,89.80701,0,,,,,,,,,,,,,,,,,,,,,,,,,,70,Female,Australia,,,,,,,FALSE,
pnas_R_3Pz4rEGBuhx7OrN,olson_pnas2021,study2,,book,fridge,star,elephant,plant,plastic tub,finish line,mountain,surfboard,magnet,82.7055,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,Australia,,,,,,,TRUE,
pnas_R_Zko9QmGAV6vde0x,olson_pnas2021,study2,,Chicken,Door,Pants,Heater,Dancing,Grass,Lemons,Shoe,Cloud,Fear,77.18929,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Australia,,,,,,,FALSE,
pnas_R_r1JAdQtiCPcS8gN,olson_pnas2021,study2,,Dog,Broom,Box,Desk,tree,Satellite,Molecule,button,Iron,Shoulder,78.61463,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Male,Australia,,,,,,,TRUE,
pnas_R_r6cp32Ud8GLPd2p,olson_pnas2021,study2,,speach,cup,pencil,surfboard,anteater,moon,bottle opener,door,memory,number,87.69592,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,FALSE,
pnas_R_3E9VtTNTxqSAlGk,olson_pnas2021,study2,,paper,bolt,step,sponge,chair,wheels,rubbish,truck,pie,engine,77.40037,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Fiji,,,,,,,TRUE,
pnas_R_22WIDtbu2OK4L8r,olson_pnas2021,study2,,desk,dog,beach,rhubarb,wind,acid,gram,friend,shovel,mirror,85.41286,0,,,,,,,,,,,,,,,,,,,,,,,,,,70,Female,United Kingdom of Great Britain and Northern Ireland,,,,,,,FALSE,
pnas_R_3qWeWlYRMydbIdF,olson_pnas2021,study2,,Elephant,Pushbike,Saw,Mango,Circle,Biceps,Automobile,Scissors,Nebula,Ruler,87.82024,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Female,Australia,,,,,,,FALSE,
pnas_R_1I9PBdCEedzirWy,olson_pnas2021,study2,,sock,car,tree,planet,hammer,cloud,roof,watch,hair,thought,77.27919,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,FALSE,
pnas_R_2thcli2xU8LGtrl,olson_pnas2021,study2,,shop,people,car,tree,paperclip,stars,window,battery,clock,dolphin,80.331024,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Male,Australia,,,,,,,FALSE,
pnas_R_3nUCyVSZf4mDkRs,olson_pnas2021,study2,,Hill,Bullet,Leaf,Bicycle,Pencil,Sock,Watch,Book,Person,Hammer,78.22097,0,,,,,,,,,,,,,,,,,,,,,,,,,,65,Male,Australia,,,,,,,FALSE,
pnas_R_AAlK8iTwCsqU8dX,olson_pnas2021,study2,,Ballerina,Mushroom,Car,Cricket bat,Mouse,Grass,Elephant,Clock,Toilet,Box,79.16047,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Female,Australia,,,,,,,FALSE,
pnas_R_3HZhHYgWPrhnQb9,olson_pnas2021,study2,,walk,crawl,big,little,bright,dull,happy,crazy,before,after,62.77545,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Female,United Kingdom of Great Britain and Northern Ireland,,,,,,,FALSE,
pnas_R_Y6upWcEmmJ3ilHz,olson_pnas2021,study2,,Car,Skateboard,Surfboard,Nose,Eye,Guitar,Rope,Pot,Stocking,Shoe,74.585686,0,,,,,,,,,,,,,,,,,,,,,,,,,,70,Male,South Africa,,,,,,,TRUE,
pnas_R_WumEuvKjmcBZQUp,olson_pnas2021,study2,,stress,relaxation,swimming,coffee,shopping,sleeping,television,gardening,music,volunteering,71.12711,0,,,,,,,,,,,,,,,,,,,,,,,,,,65,Female,Australia,,,,,,,FALSE,
pnas_R_3fViuHQ0pwJ34pc,olson_pnas2021,study2,,Koala,Vacuum cleaner,Centipede,Water,Leaf,Dog collar,Fence,Swan,Football,Brick,83.92445,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Female,Australia,,,,,,,FALSE,
pnas_R_31KlQQqPFqUzaU6,olson_pnas2021,study2,,cat,door,cloud,electricity,poetry,doctor,space,virus,river,machine,78.93652,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,FALSE,
pnas_R_2sbu6OwNaX0fB7E,olson_pnas2021,study2,,Cat,Air,Car tyre,Brick,Computer mouse,Magnet,Statue,Postcard,Rosebush,Mountain,83.794556,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,Australia,,,,,,,FALSE,
pnas_R_2EmyBpCHEjiJhTf,olson_pnas2021,study2,,walk,swim,think,putt,drive,garden,sister,friend,horse,typewriter,71.981415,0,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,
pnas_R_3Rr3MBNUh7Mprgl,olson_pnas2021,study2,,Rug,Ice,Flower,Antique,Pet,Weather,Library,Elephant,Dust,Embryo,76.09955,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,Australia,,,,,,,FALSE,
pnas_R_27TgmWcoMGU5Byh,olson_pnas2021,study2,,hand,sky,science,purple,fire,suction,symphony,wealth,needle,washing up,78.37699,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Male,Australia,,,,,,,FALSE,
pnas_R_2QA0MNjzarQIhiQ,olson_pnas2021,study2,,Cup,Dog,Face,Guard,Fence,Grave,Lamp,Cloud,Fish,Car,74.47694,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,Male,United States of America,,,,,,,FALSE,
pnas_R_2dF0Fdh0PKx57lx,olson_pnas2021,study2,,bread hair concertina bristle cheese  skirt  bus   coul  worm  molecule  raindrop  rhinocerus  dust particle  tyre  needle plaster  recipe cushion  coldness concerto haircream spanner screw  stomach hospital brush  cellophane  glue  flour  bathsalts  deadleaf  paint speck  wooden spoon  shop  railtrack  pump  reservoir seaurchin zoo,cake,garage,zip,pimple,argon,formula,triangle,sea urchin,curve,88.05906,0,,,,,,,,,,,,,,,,,,,,,,,,,,70,Female,United Kingdom of Great Britain and Northern Ireland,,,,,,,TRUE,
pnas_R_1GHopDTwlrlp6tE,olson_pnas2021,study2,,Pillow,Dumbbell,Handkerchief,Car,Straw paper,Orange,Doorbell,Guitar,Flower,Star,82.34513,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,United States of America,,,,,,,FALSE,
pnas_R_3Do4aQWWLYjukId,olson_pnas2021,study2,,Sex,Lake,Ruler,Dog,Travel,Statistics,Angst,Art,Physics,Walk,83.66741,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Male,Australia,,,,,,,FALSE,
