model_name,batch,temperature,source_file,dat_score,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.93277,chair,apple,happiness,mountain,book,umbrella,freedom,music,cloud,bicycle
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.43922,dog,moon,happiness,chair,water,book,music,sunshine,mountain,love
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.88677,apple,car,happiness,tree,book,sun,chair,music,cloud,dog
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,73.88183,dog,chair,happiness,tree,computer,ocean,love,book,car,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.97047,chair,dog,happiness,airplane,tree,book,music,pizza,ocean,computer
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.969406,apple,chair,love,ocean,hat,music,cloud,book,freedom,star
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.91573,tree,chair,love,ocean,computer,happiness,book,elephant,sky,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.87344,dog,book,happiness,tree,car,ocean,chair,love,mountain,clock
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.788994,chair,apple,love,book,bicycle,cloud,happiness,tree,hammer,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.41098,book,chair,love,tree,car,happiness,ocean,phone,music,diamond
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.94178,dog,sky,book,love,chair,apple,freedom,water,clock,happiness
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.94297,dog,apple,chair,love,book,sky,hammer,happiness,tree,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,71.17198,dog,house,love,tree,computer,banana,happiness,book,ocean,mountain
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.02346,chair,mountain,love,book,car,music,tree,happiness,computer,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,80.01954,flower,chair,happiness,book,mountain,sandwich,computer,umbrella,music,coffee
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,80.609856,chair,cloud,book,apple,happiness,hammer,mountain,music,ocean,bicycle
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.982544,apple,chair,happiness,mountain,elephant,book,sunlight,hammer,love,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,72.45611,ocean,chair,happiness,mountain,book,tree,love,cloud,bicycle,freedom
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,73.041,dog,chair,love,tree,happiness,book,car,ocean,hat,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.07777,tree,book,happiness,spoon,cloud,chair,moon,music,car,butterfly
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.004906,dog,banana,happiness,table,umbrella,mountain,book,computer,flower,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.016014,book,banana,chair,love,tree,car,happiness,hammer,cloud,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.37778,book,chair,love,banana,sky,music,courage,coffee,dog,happiness
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.794525,chair,banana,love,mountain,computer,happiness,book,elephant,sunlight,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.31553,apple,table,love,book,car,sky,music,tree,happiness,spoon
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.634056,book,chair,love,tree,car,happiness,water,music,phone,bread
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.51441,dog,book,happiness,chair,sun,cloud,time,rock,water,laughter
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,72.11197,dog,chair,happiness,tree,banana,umbrella,love,book,mountain,computer
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.3691,book,chair,happiness,mountain,dog,umbrella,freedom,ocean,apple,laughter
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,79.46569,ocean,bicycle,happiness,book,hammer,cloud,tree,museum,love,laughter
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.156006,dog,chair,love,mountain,book,banana,freedom,car,music,cloud
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.057465,bird,chair,freedom,banana,computer,love,mountain,book,sunset,laughter
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,79.88915,dog,mountain,book,happiness,chair,sunflower,music,bicycle,ocean,cloud
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.488815,dog,moon,happiness,chair,pineapple,courage,book,cloud,laughter,door
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.552704,dog,book,happiness,tree,car,ocean,music,basketball,chair,sun
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.13124,apple,chair,love,book,sun,music,mountain,happiness,airplane,diamond
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.90376,table,elephant,happiness,hammer,chair,banana,love,mountain,book,galaxy
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,80.88342,chair,apple,happiness,mountain,book,car,oxygen,laughter,lamp,river
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.84465,apple,chair,love,book,car,tree,happiness,phone,music,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,73.17813,flower,chair,happiness,mountain,book,sunset,tree,laptop,freedom,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.55194,dog,table,happiness,book,ocean,car,mountain,pencil,music,sun
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,71.38784,tree,car,love,book,rock,dream,chair,ocean,laughter,sun
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,79.52369,apple,chair,happiness,ocean,hammer,elephant,laptop,freedom,mountain,book
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,80.763275,chair,apple,happiness,ocean,book,hammer,cloud,guitar,diamond,bicycle
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.51572,car,tree,love,pencil,camera,happiness,chair,book,ocean,moon
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.80788,apple,chair,love,book,sun,elephant,freedom,mountain,music,clock
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,80.91134,chair,apple,happiness,book,elephant,mountain,microphone,love,bicycle,cloud
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.2009,chair,banana,love,guitar,cloud,mountain,book,fire,time,laughter
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.63905,dog,tree,happiness,book,bicycle,ocean,cloud,chair,music,butterfly
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.28566,apple,chair,love,mountain,book,water,happiness,cloud,guitar,laughter
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.53691,book,tree,happiness,car,water,chair,mountain,hat,music,pizza
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.48735,apple,chair,love,ocean,book,freedom,tree,happiness,car,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.75172,car,tree,love,book,phone,elephant,music,ocean,chair,happiness
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,73.041,dog,chair,love,book,tree,happiness,car,ocean,music,diamond
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.6474,book,chair,love,cloud,tree,happiness,computer,flower,truth,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.25802,apple,chair,love,elephant,guitar,freedom,mountain,book,cloud,happiness
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.54826,dog,chair,freedom,banana,computer,happiness,mountain,book,umbrella,galaxy
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.26234,apple,table,happiness,mountain,book,chair,freedom,sun,car,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.78352,apple,car,happiness,book,mountain,chair,love,tree,hammer,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.371605,dog,table,happiness,guitar,mountain,book,love,cloud,chair,diamond
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,81.114235,carrot,book,ocean,chair,cloud,hammer,love,computer,butterfly,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.44506,apple,chair,love,sky,book,hammer,freedom,tree,music,happiness
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.6921,apple,chair,love,mountain,book,hammer,happiness,cloud,bicycle,clock
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.19712,book,chair,love,tree,computer,happiness,spoon,ocean,time,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.65858,bird,computer,happiness,rock,umbrella,laughter,tree,book,ocean,chair
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.02982,flower,chair,happiness,mountain,computer,book,umbrella,love,guitar,sun
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.289375,guitar,banana,love,book,mountain,chair,light,shoe,music,spoon
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.05687,book,chair,happiness,tree,car,laptop,sunshine,ocean,dog,cake
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,73.674484,cat,table,happiness,book,mountain,car,love,chair,tree,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.19735,car,apple,chair,love,book,sun,dog,tree,money,happiness
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.68648,chair,banana,love,hammer,sunset,computer,peace,book,mountain,umbrella
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.66453,flower,car,happiness,book,mountain,chocolate,chair,love,guitar,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.37612,dog,chair,love,ocean,banana,computer,happiness,book,sky,rock
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.42498,apple,table,happiness,guitar,mountain,book,love,bicycle,chair,sunlight
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,79.634056,tree,cloud,book,chair,music,hammer,apple,happiness,mountain,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,72.11061,dog,book,happiness,tree,house,music,coffee,ocean,chair,mountain
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.307274,apple,chair,happiness,bicycle,ocean,book,laughter,hammer,cloud,freedom
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.27181,dog,chair,happiness,mountain,guitar,apple,courage,book,ocean,sunglasses
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,80.12311,sunflower,chair,happiness,mountain,pineapple,freedom,book,bicycle,stars,umbrella
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.92792,apple,chair,love,book,sun,elephant,happiness,tree,car,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.55194,dog,table,happiness,car,mountain,book,ocean,chair,love,tree
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.59459,flower,hammer,happiness,mountain,chair,dog,book,basketball,sun,water
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.006615,car,book,tree,happiness,computer,umbrella,coffee,chair,guitar,mountain
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,72.51694,dog,book,tree,love,computer,sky,music,cake,courage,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.77865,dog,table,happiness,mountain,laptop,umbrella,freedom,banana,chair,love
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.81528,apple,chair,love,elephant,sky,book,happiness,ocean,music,key
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.06631,flower,chair,happiness,book,elephant,lake,cookie,airplane,mountain,umbrella
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.6921,apple,chair,love,mountain,book,hammer,happiness,bicycle,galaxy,coffee
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.065956,chair,banana,happiness,computer,ocean,umbrella,freedom,mountain,book,candle
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.613144,bird,chair,love,mountain,computer,banana,happiness,book,car,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,80.968925,apple,chair,happiness,cloud,guitar,river,book,mountain,candle,diamond
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,79.21376,tree,book,happiness,chair,ocean,car,sunglasses,music,cloud,mountain
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,72.85103,flower,book,chair,love,mountain,car,tree,happiness,apple,sky
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.54306,dog,book,tree,happiness,table,car,music,ocean,computer,flower
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.37612,chair,dog,happiness,computer,ocean,banana,love,book,sky,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,79.98926,apple,chair,love,hammer,galaxy,laughter,book,mountain,honesty,umbrella
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.40149,dog,chair,happiness,book,mountain,apple,freedom,car,sun,hammer
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,72.72115,dog,chair,love,apple,freedom,book,happiness,cloud,water,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.38932,dog,car,book,happiness,tree,chair,hammer,music,mountain,cloud
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.49126,banana,chair,happiness,mountain,book,cloud,bicycle,love,hat,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,73.956924,apple,chair,love,dog,sky,book,happiness,hammer,ocean,guitar
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.32576,chair,banana,happiness,mountain,car,computer,music,book,sun,elephant
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.8687,apple,chair,happiness,mountain,book,freedom,elephant,laughter,sunlight,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,79.63476,flower,guitar,happiness,mountain,book,pineapple,umbrella,chair,cloud,bicycle
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.91572,book,tree,happiness,chair,ocean,computer,love,window,mountain,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,80.640045,dog,book,happiness,mountain,coffee,hammer,galaxy,bicycle,laughter,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.87344,dog,chair,happiness,ocean,book,tree,car,freedom,chocolate,courage
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.50629,apple,chair,love,elephant,music,airplane,book,happiness,spoon,mountain
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.71222,book,chair,happiness,mountain,banana,laptop,love,tree,car,sky
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.58425,car,mountain,book,tree,chair,happiness,cookie,hammer,ocean,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.44288,dog,book,happiness,tree,airplane,coffee,mountain,umbrella,piano,sunlight
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,82.67897,chair,umbrella,happiness,mountain,book,spaceship,pineapple,love,clock,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.276405,apple,chair,freedom,mountain,love,book,lightning,butterfly,courage,sunset
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,73.70735,tree,table,happiness,car,flower,book,mountain,clock,music,chair
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.19343,dog,book,happiness,tree,ocean,computer,freedom,chair,sky,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.99699,apple,chair,love,book,mountain,cloud,hammer,laughter,diamond,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,80.6251,book,chair,happiness,guitar,tree,cloud,hammer,banana,love,mountain
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.99295,chair,elephant,love,guitar,apple,freedom,book,cloud,hammer,laughter
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.80922,apple,table,freedom,tree,happiness,car,book,sun,love,mountain
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,79.5337,chair,happiness,tree,book,cloud,music,bottle,love,rock,computer
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.91598,apple,chair,happiness,book,ocean,bicycle,music,cloud,flower,freedom
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.39187,dog,chair,love,mountain,banana,book,happiness,computer,sky,flower
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.91618,ocean,chair,freedom,elephant,laptop,happiness,mountain,book,umbrella,galaxy
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.186485,candle,tree,happiness,book,spoon,sky,bicycle,hammer,umbrella,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.28163,apple,chair,love,elephant,book,happiness,mountain,umbrella,laughter,diamond
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.449715,apple,chair,love,mountain,book,bicycle,happiness,cloud,guitar,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.0517,apple,chair,love,umbrella,mountain,book,freedom,hammer,sunset,galaxy
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,79.14321,car,book,mountain,happiness,chair,cookie,air,love,tree,rain
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.446365,car,tree,happiness,book,chair,ocean,apple,freedom,love,computer
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.13543,apple,chair,freedom,ocean,happiness,hammer,mountain,book,music,bicycle
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,79.98312,book,apple,happiness,chair,mountain,hammer,computer,umbrella,love,moon
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.87344,dog,tree,happiness,book,car,ocean,chair,music,diamond,planet
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.68625,chair,apple,love,car,tree,freedom,book,happiness,computer,dog
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,72.93674,apple,chair,love,book,sun,tree,happiness,car,mountain,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.51763,dog,book,happiness,tree,ocean,computer,umbrella,love,chair,mountain
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.85247,apple,chair,love,elephant,book,freedom,mountain,music,ocean,happiness
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.86669,bird,chair,love,cloud,book,tree,music,lamp,beach,happiness
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.07238,flower,chair,happiness,computer,elephant,sky,book,ocean,love,mountain
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,83.34527,apple,book,happiness,hammer,river,chair,galaxy,guitar,cloud,bicycle
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.467834,apple,chair,happiness,mountain,book,sky,hammer,love,tree,bicycle
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,73.35273,dog,chair,love,mountain,book,car,happiness,tree,pen,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.61981,chair,apple,happiness,mountain,book,umbrella,ocean,guitar,laughter,flower
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,80.26659,apple,chair,happiness,mountain,guitar,book,hammer,laughter,ocean,key
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.75244,chair,cloud,love,book,tree,money,laughter,hammer,ocean,happiness
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.788994,apple,chair,love,book,cloud,bicycle,happiness,tree,courage,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.37062,chair,banana,happiness,mountain,umbrella,book,airplane,guitar,laughter,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.40149,dog,book,happiness,mountain,chair,apple,freedom,water,music,sunshine
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,80.235344,apple,chair,love,bicycle,book,sunlight,anger,cloud,music,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.78544,dog,chair,happiness,tree,book,ocean,computer,friendship,cloud,money
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.78352,apple,chair,love,book,mountain,happiness,car,tree,music,bread
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.7867,apple,chair,love,book,star,hammer,time,cloud,music,laughter
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.507454,tree,chair,happiness,book,rock,airplane,water,bicycle,love,computer
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.449715,apple,chair,happiness,mountain,book,bicycle,love,sun,hammer,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,82.101234,flower,chair,happiness,mountain,smartphone,book,sunlight,cookie,truth,elephant
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.90633,book,chair,happiness,tree,car,water,computer,music,cloud,bicycle
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.87366,dog,apple,happiness,chair,ocean,book,freedom,music,mountain,cookie
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.38266,apple,chair,love,ocean,tree,happiness,book,hammer,cloud,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.34794,tree,chair,happiness,guitar,ocean,mountain,book,cloud,coffee,bicycle
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.41267,chair,moon,happiness,tree,book,hammer,laughter,ocean,cloud,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,79.36692,apple,chair,love,book,cloud,hammer,freedom,ocean,laughter,planet
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.951065,flower,chair,happiness,mountain,book,elephant,computer,sunshine,cookie,laughter
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.26694,flower,chair,happiness,ocean,guitar,mountain,book,pineapple,rain,computer
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,80.26898,dog,chair,happiness,cloud,banana,music,book,mountain,laptop,lemonade
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,77.37826,chair,banana,happiness,mountain,pencil,moon,freedom,car,book,coffee
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.84465,chair,apple,love,tree,car,book,happiness,hammer,mountain,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.228134,apple,chair,happiness,book,mountain,umbrella,music,hammer,laughter,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,79.231766,dog,table,happiness,mountain,guitar,umbrella,book,sunlight,computer,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.76199,dog,chair,happiness,mountain,book,flower,music,pencil,cookie,sunset
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.52465,chair,apple,happiness,mountain,book,sun,elephant,water,guitar,freedom
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.26088,chair,sun,love,computer,mountain,apple,freedom,book,music,diamond
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,81.024155,dog,chair,happiness,book,cloud,hammer,sunset,diamond,ocean,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.0844,dog,book,happiness,mountain,chair,friendship,ocean,banana,laughter,sunshine
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.42677,dog,book,happiness,ocean,chair,mountain,tree,love,computer,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.43468,tree,chair,love,ocean,book,rock,cloud,bicycle,happiness,key
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,73.72622,apple,chair,love,mountain,book,sky,happiness,hammer,river,guitar
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.00358,apple,chair,happiness,mountain,book,umbrella,love,ocean,key,tree
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,80.1725,apple,chair,happiness,guitar,mountain,book,sunlight,hammer,ocean,laughter
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.84282,dog,tree,happiness,book,car,sky,chair,music,beach,computer
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.139206,car,banana,love,computer,table,happiness,book,chair,mountain,freedom
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.77711,chair,apple,love,book,car,adventure,computer,freedom,beach,laughter
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.01912,dog,chair,happiness,tree,computer,love,book,water,music,sky
