index,model_name,temperature,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,intelligence,dat_new,dat_old,prompt_big_category,prompt_sub_category
590e3aab5e14af0cd81949e9be2634b5.pickle,GPT-5,0.5,thunder,bread,mirror,justice,engine,music,chair,planet,stone,dream,LLMs,52.62732749,81.87681182,Baseline prompt,Baseline prompt
0b45fd4f43fbcf78e7ad634db0a6e6d0.pickle,GPT-5,0.5,mountain,cat,spoon,thunder,freedom,melody,pebble,shadow,engine,rumor,LLMs,56.29545767,79.69929911,Baseline prompt,Baseline prompt
80db4a3cfa62c45ccc0a25e80ac63297.pickle,GPT-5,0.5,mountain,cat,hammer,freedom,thunder,bread,heart,car,pencil,shadow,LLMs,48.09977209,75.46180807,Baseline prompt,Baseline prompt
f206760740acefc60614681001d7721c.pickle,GPT-5,0.5,volcano,quilt,laughter,compass,horizon,bread,thunder,mirror,freedom,river,LLMs,60.48359694,79.65729493,Baseline prompt,Baseline prompt
764ecc5338e3269b6f94d2dc0a36c72f.pickle,GPT-5,0.5,tree,hammer,thunder,justice,kitten,mirror,star,melody,stone,sugar,LLMs,51.37766269,79.92799754,Baseline prompt,Baseline prompt
f84d97f966a294688a3fd932517a6167.pickle,GPT-5,0.5,mountain,spoon,freedom,thunder,mirror,bread,shadow,memory,ocean,melody,LLMs,49.76480722,76.24871014,Baseline prompt,Baseline prompt
9beb4931197c74ccf106707512b3bf71.pickle,GPT-5,0.5,hammer,mountain,justice,music,mirror,joy,bread,rain,computer,time,LLMs,50.3177124,77.30383694,Baseline prompt,Baseline prompt
e21a3b95b6aced07d0cbabeb064e418d.pickle,GPT-5,0.5,apple,hammer,cloud,fire,music,justice,shadow,bird,planet,dream,LLMs,47.30300049,76.34267473,Baseline prompt,Baseline prompt
79891d178bf9ab40fa90fcd2727b243a.pickle,GPT-5,0.5,apple,hammer,fire,justice,cat,melody,shadow,brick,dream,storm,LLMs,50.29415757,78.27432428,Baseline prompt,Baseline prompt
60fcfa4752d5bd0a44894ea15c1157a7.pickle,GPT-5,0.5,mountain,melody,hammer,river,dream,cabbage,clock,thunder,mirror,justice,LLMs,54.54255771,79.36648716,Baseline prompt,Baseline prompt
7db7f48959b79642dad725a982064e6d.pickle,GPT-5,0.5,spoon,mountain,freedom,lightning,bicycle,melody,bread,shadow,circle,friendship,LLMs,55.23256842,78.5363837,Baseline prompt,Baseline prompt
d6614141958406738223c6401166e5c6.pickle,GPT-5,0.5,apple,hammer,elephant,lightning,justice,mirror,sand,music,planet,whisper,LLMs,52.46156106,77.18788979,Baseline prompt,Baseline prompt
0fec1dabd0604acde3bd3ddea3bdcfc8.pickle,GPT-5,0.5,apple,hammer,rock,courage,shadow,pillow,engine,dream,melody,planet,LLMs,52.98057403,81.08305889,Baseline prompt,Baseline prompt
84f884b6109d08b99afed8b32abdab21.pickle,GPT-5,0.5,chair,thunder,freedom,bread,hammer,sand,clock,planet,circle,joy,LLMs,52.63363166,78.48881873,Baseline prompt,Baseline prompt
3f3cc23cefb2f717baa63ce645793095.pickle,GPT-5,0.5,mountain,spoon,rabbit,thunder,dream,brick,melody,bread,clock,shadow,LLMs,51.45155972,76.06386809,Baseline prompt,Baseline prompt
38de70744e64f7fa1d43a0d5cfadeb4a.pickle,GPT-5,0.5,hammer,thunder,kindness,galaxy,cabbage,mirror,shadow,ant,melody,dust,LLMs,57.53387343,81.1132206,Baseline prompt,Baseline prompt
8fea7c0bbd917f2ca7fc06f7de279c4d.pickle,GPT-5,0.5,mountain,spoon,cat,idea,thunder,freedom,brick,ocean,smoke,melody,LLMs,48.84453313,77.77739978,Baseline prompt,Baseline prompt
e131b1f3c773ae8c934a5bf583fa99d0.pickle,GPT-5,0.5,mountain,butterfly,hammer,river,music,freedom,mirror,bread,thunder,garden,LLMs,49.09904464,78.35809084,Baseline prompt,Baseline prompt
9e4832705615b923eff82e4842f8592b.pickle,GPT-5,0.5,stone,lantern,bread,ocean,mountain,thunder,melody,justice,friendship,dream,LLMs,53.08462837,73.62788673,Baseline prompt,Baseline prompt
dac8e7431e2d68046a9b790354c44a55.pickle,GPT-5,0.5,mountain,spoon,thunder,freedom,cactus,shadow,biscuit,lantern,puzzle,breeze,LLMs,56.26298132,78.43563513,Baseline prompt,Baseline prompt
a138508aa7fcd206534ad8e6e25004d7.pickle,GPT-5,0.5,apple,hammer,rain,melody,justice,brick,mirror,courage,smoke,shadow,LLMs,53.36021841,79.3936382,Baseline prompt,Baseline prompt
d753b26e1b21a17ffc8bfee30d93574e.pickle,GPT-5,0.5,mirror,mountain,bread,thunder,justice,color,dream,clock,seed,music,LLMs,48.31026841,76.80130821,Baseline prompt,Baseline prompt
d8d1734f5e7e622a99f36db4a41c01c2.pickle,GPT-5,0.5,mountain,spoon,thunder,freedom,cactus,engine,melody,puddle,otter,wisdom,LLMs,58.30916403,82.16915221,Baseline prompt,Baseline prompt
3b939c844e7d52d2ad273f3049f8eb8e.pickle,GPT-5,0.5,hammer,cloud,justice,melody,butterfly,bread,mirror,ink,laughter,puzzle,LLMs,56.32106348,81.03484898,Baseline prompt,Baseline prompt
948d147a1a405c4942f6fdccbc9c3839.pickle,GPT-5,0.5,hammer,river,joy,phone,whale,sand,galaxy,justice,melody,shadow,LLMs,52.92005106,79.67327477,Baseline prompt,Baseline prompt
62d630ab295cdd22ed2db49726ab052c.pickle,GPT-5,0.5,mountain,music,apple,freedom,hammer,cloud,laughter,shadow,wheel,sand,LLMs,51.41573165,78.07742821,Baseline prompt,Baseline prompt
0ebf9902eb1f8adee77e0d3b96d7ab86.pickle,GPT-5,0.5,stone,thunder,justice,hammer,tiger,heart,bread,joy,planet,water,LLMs,49.67261756,74.71362244,Baseline prompt,Baseline prompt
d78c18e4a3b24436354594174f5cfc94.pickle,GPT-5,0.5,ocean,spoon,thunder,justice,blanket,puzzle,shadow,brick,ink,dream,LLMs,54.21668608,78.16119501,Baseline prompt,Baseline prompt
4928d49282300cdeee2f24f737196f08.pickle,GPT-5,0.5,mountain,planet,hammer,bread,elephant,hand,joy,thunder,bicycle,chair,LLMs,46.87129781,72.7558847,Baseline prompt,Baseline prompt
2db60314edba70a178813b16f70506bd.pickle,GPT-5,0.5,spoon,mountain,justice,cloud,music,brick,hand,chair,future,joy,LLMs,50.17542012,78.72812577,Baseline prompt,Baseline prompt
7db1ba66f11c942e533e07b82027fbe3.pickle,GPT-5,0.5,stone,bicycle,cloud,melody,justice,pepper,lantern,thunder,cat,puzzle,LLMs,60.14340808,82.60481107,Baseline prompt,Baseline prompt
e3ca132323e822344e9cccb4263315eb.pickle,GPT-5,0.5,stone,melody,justice,cloud,candle,tiger,bread,wheel,ink,planet,LLMs,57.57616158,79.5925513,Baseline prompt,Baseline prompt
e582903fa6bdf4182e70067c45281a53.pickle,GPT-5,0.5,apple,hammer,ocean,music,justice,dust,thunder,robot,dream,chair,LLMs,52.18688413,77.28178358,Baseline prompt,Baseline prompt
0d7992a272aa6904cdd6abbd71ff5029.pickle,GPT-5,0.5,chair,river,tiger,music,joy,hammer,cloud,bread,bicycle,shadow,LLMs,51.12194681,80.13315382,Baseline prompt,Baseline prompt
eb8744ee3bda9e2ff8f61fd90dc0b447.pickle,GPT-5,0.5,mountain,hammer,butterfly,justice,thunder,bread,mirror,heart,galaxy,perfume,LLMs,53.94304161,78.48598896,Baseline prompt,Baseline prompt
931ab960a56ee77ad042367a726008c1.pickle,GPT-5,0.5,dog,hammer,apple,mountain,music,joy,heart,stone,chair,planet,LLMs,45.24090267,74.03335909,Baseline prompt,Baseline prompt
cfdd511ef183bfb58d0af25b16b29832.pickle,GPT-5,0.5,stone,music,cloud,mirror,thunder,freedom,bread,shadow,blossom,time,LLMs,50.14175901,78.24875065,Baseline prompt,Baseline prompt
908e665f16406a9921d1ceebe10e1982.pickle,GPT-5,0.5,dog,hammer,ocean,music,shadow,bread,justice,cloud,pebble,fire,LLMs,52.28067643,79.04474484,Baseline prompt,Baseline prompt
e19e4665538c5c7233e3ed9404608e8d.pickle,GPT-5,0.5,mountain,spoon,thunder,freedom,cactus,jellyfish,brick,melody,hour,bread,LLMs,59.93818767,80.8958925,Baseline prompt,Baseline prompt
08ad0b370f0d3a2dee3802376eac6e20.pickle,GPT-5,0.5,apple,hammer,elephant,freedom,storm,chair,mountain,music,shadow,clock,LLMs,50.77119718,78.0742105,Baseline prompt,Baseline prompt
46fef22357a0550bc3e2bf0de8a69abf.pickle,GPT-5,0.5,apple,hammer,butterfly,courage,shadow,galaxy,fabric,volcano,melody,brick,LLMs,54.61751568,79.6434674,Baseline prompt,Baseline prompt
1bb72c90bc128a02fed2c8980eb7f77d.pickle,GPT-5,0.5,stone,river,music,freedom,chair,cloud,pepper,wheel,thunder,mirror,LLMs,51.95600355,80.57068978,Baseline prompt,Baseline prompt
6a82bfae05d65e73883070dc7ebb3b42.pickle,GPT-5,0.5,apple,mountain,justice,laughter,hammer,elbow,butterfly,fabric,clock,shadow,LLMs,58.48893064,80.68635959,Baseline prompt,Baseline prompt
8bbbf5c3dfc76cfc812030ecfe763b16.pickle,GPT-5,0.5,stone,spoon,clock,bread,thunder,music,justice,memory,laughter,shadow,LLMs,54.19564432,78.98560268,Baseline prompt,Baseline prompt
15902c22f6f828c9355e9fd0c03a7125.pickle,GPT-5,0.5,apple,hammer,cloud,melody,justice,feather,flame,brick,whisper,dream,LLMs,55.88181697,79.2396028,Baseline prompt,Baseline prompt
3d51dc2a7db86a58d7f6516c306dbded.pickle,GPT-5,0.5,river,music,hammer,justice,cloud,bread,mirror,shadow,freedom,cactus,LLMs,54.02306595,81.93166304,Baseline prompt,Baseline prompt
84b0ea0fc66f41d8af16580f3636d9ff.pickle,GPT-5,0.5,mountain,spoon,thunder,freedom,cat,honey,shadow,brick,dream,color,LLMs,49.51209071,75.69607237,Baseline prompt,Baseline prompt
9b4047bb80d79a763ed2fc654114782f.pickle,GPT-5,0.5,stone,melody,justice,lamp,pepper,cloud,engine,shadow,courage,puzzle,LLMs,58.24260206,83.71901301,Baseline prompt,Baseline prompt
140390bc733a6c7210a5a617e687e1c2.pickle,GPT-5,0.5,hammer,butterfly,mountain,music,justice,thunder,cookie,mirror,ink,dream,LLMs,54.41724065,79.17154601,Baseline prompt,Baseline prompt
f0d1abb9a3b80291616fe896312cc7ef.pickle,GPT-5,0.5,hammer,cactus,thunder,justice,cloud,butter,melody,shadow,brick,rumor,LLMs,60.29279151,81.4670743,Baseline prompt,Baseline prompt
402468b2a72a3c9728738cc3470a8c31.pickle,GPT-5,0.5,apple,hammer,mountain,cloud,melody,courage,mirror,insect,planet,idea,LLMs,53.75140223,80.48804089,Baseline prompt,Baseline prompt
ddc9788409365ec51e7e637a4b97f3fd.pickle,GPT-5,0.5,apple,hammer,freedom,thunder,sand,bicycle,butterfly,elbow,star,rainbow,LLMs,54.05136786,77.2438938,Baseline prompt,Baseline prompt
fa72651cc70048564e19e028105e1aab.pickle,GPT-5,0.5,mountain,spoon,justice,thunder,cabbage,brick,pillow,lion,melody,shadow,LLMs,59.72165705,80.36804004,Baseline prompt,Baseline prompt
22046408f08327ea1a56d8e36f5c7e69.pickle,GPT-5,0.5,pencil,bread,turtle,thunder,mirror,freedom,music,shadow,cloud,brick,LLMs,53.87295972,82.16592528,Baseline prompt,Baseline prompt
7069e433113e3145f13cf777c6ad484d.pickle,GPT-5,0.5,mountain,spoon,justice,thunder,butterfly,ocean,melody,brick,dream,cactus,LLMs,54.82196316,76.83486901,Baseline prompt,Baseline prompt
949606e6231ede2c5fefa15ec0d50281.pickle,GPT-5,0.5,stone,dream,ladder,ocean,melody,bread,candle,thunder,justice,insect,LLMs,51.90189043,74.39898389,Baseline prompt,Baseline prompt
67b81c75cebae9b263b93f56042ca40c.pickle,GPT-5,0.5,mountain,spoon,thunder,freedom,bread,shadow,cat,mirror,rumor,hand,LLMs,50.16063387,75.87355809,Baseline prompt,Baseline prompt
642341aa45016c89b7cbb9752ff9f86d.pickle,GPT-5,0.5,apple,hammer,cloud,melody,justice,flame,turtle,cupboard,pollen,rumor,LLMs,56.95532113,81.36065907,Baseline prompt,Baseline prompt
9f73916b36eed00a42a9af7d8eb16018.pickle,GPT-5,0.5,apple,hammer,cloud,music,freedom,river,robot,pillow,laughter,galaxy,LLMs,51.9128523,81.49605209,Baseline prompt,Baseline prompt
d87dc1082b23d417640f6bcf296307e0.pickle,GPT-5,0.5,apple,hammer,butterfly,cloud,justice,melody,sand,robot,thunder,pillow,LLMs,56.14879297,79.66812336,Baseline prompt,Baseline prompt
349f47442692b5491d82070645115e1c.pickle,GPT-5,0.5,apple,hammer,lightning,justice,friendship,heart,mirror,tiger,leaf,melody,LLMs,48.80702597,77.93361252,Baseline prompt,Baseline prompt
1f614a2c800c3c644cbf2f00e0814663.pickle,GPT-5,0.5,mountain,idea,apple,music,hammer,ocean,freedom,shadow,dog,rainbow,LLMs,45.85631757,75.40768423,Baseline prompt,Baseline prompt
49c9e272690bca0f1b3c9762ba03b85c.pickle,GPT-5,0.5,hammer,apple,turtle,thunder,justice,melody,planet,mirror,sand,dream,LLMs,55.72726697,78.77308832,Baseline prompt,Baseline prompt
a243a939647e70c1114b6c82205989d3.pickle,GPT-5,0.5,apple,hammer,cloud,melody,justice,brick,butterfly,thunder,mirror,dream,LLMs,56.25114483,80.45449053,Baseline prompt,Baseline prompt
68c37327f504bff11a37cc9c49f98853.pickle,GPT-5,0.5,apple,hammer,tiger,cloud,music,justice,mirror,planet,laughter,soil,LLMs,51.67339245,80.6214484,Baseline prompt,Baseline prompt
219a78e978b552f5fe414eb933c2def7.pickle,GPT-5,0.5,river,hammer,cloud,melody,justice,apple,sand,chair,fox,fear,LLMs,55.20739688,79.5362773,Baseline prompt,Baseline prompt
fa474f9b6b26bf7f31a21f74c2c93e18.pickle,GPT-5,0.5,stone,music,justice,ocean,bread,lamp,thunder,memory,future,umbrella,LLMs,54.29044696,78.86431806,Baseline prompt,Baseline prompt
21acd8211c645dc4216fef781263ba4e.pickle,GPT-5,0.5,thunder,bread,courage,mirror,cat,planet,perfume,ladder,shadow,melody,LLMs,54.01507288,79.76351779,Baseline prompt,Baseline prompt
c0a85f64aa7960ee9436211f6192111c.pickle,GPT-5,0.5,stone,ocean,flame,laughter,justice,hammer,butterfly,melody,shadow,bread,LLMs,53.63006215,76.61840006,Baseline prompt,Baseline prompt
eb9639af18e30b798265f809656de880.pickle,GPT-5,0.5,hammer,ocean,thunder,bread,freedom,cactus,star,shadow,clock,joy,LLMs,54.43821838,81.17382115,Baseline prompt,Baseline prompt
d1303bd3a42dc5a385102cbaf44d4b06.pickle,GPT-5,0.5,apple,ocean,laughter,hammer,thunder,justice,butterfly,melody,mirror,brick,LLMs,56.57701159,77.81781446,Baseline prompt,Baseline prompt
0526c26fe0c46a18135c182f7e473303.pickle,GPT-5,0.5,apple,hammer,elephant,cloud,music,justice,shadow,bicycle,candle,thunder,LLMs,51.8676361,78.59694788,Baseline prompt,Baseline prompt
c7a3f9abd2a8287219a2495d026cf54f.pickle,GPT-5,0.5,apple,hammer,cloud,melody,kindness,shadow,brick,butterfly,journey,whisper,LLMs,54.64468556,79.9189509,Baseline prompt,Baseline prompt
d182eef6b997ce1f4d2ef4a4b332e892.pickle,GPT-5,0.5,hammer,cloud,justice,whisper,brick,shadow,cinnamon,ladder,memory,planet,LLMs,56.44647667,78.7575298,Baseline prompt,Baseline prompt
c1214af9d481d5b3fa4fbf7f98352f8a.pickle,GPT-5,0.5,hammer,butterfly,thunder,justice,river,melody,bread,shadow,elbow,galaxy,LLMs,56.82504098,79.25403398,Baseline prompt,Baseline prompt
9112c9863812ed59038a28ab167ccd0e.pickle,GPT-5,0.5,tree,stone,river,music,idea,hammer,cake,freedom,cloud,mirror,LLMs,44.97053252,73.68755407,Baseline prompt,Baseline prompt
fcad04a518e5335cd13df81840fca9e4.pickle,GPT-5,0.5,mountain,chair,bird,river,music,courage,hammer,bicycle,cookie,shadow,LLMs,49.48611222,77.38980838,Baseline prompt,Baseline prompt
91e73d26bcaa31e6aee3782c95bc00ad.pickle,GPT-5,0.5,whale,hammer,sandwich,thunder,joy,justice,pebble,shadow,lantern,elbow,LLMs,58.87727743,79.87391625,Baseline prompt,Baseline prompt
6743e0cc85d90d7e13e5ff4d2f47bb32.pickle,GPT-5,0.5,hammer,elephant,apple,freedom,thunder,heart,chair,sand,planet,melody,LLMs,50.23695339,77.67064002,Baseline prompt,Baseline prompt
393f255427184687d43dea43721908c8.pickle,GPT-5,0.5,mountain,spoon,thunder,justice,cat,melody,bread,mirror,shadow,dream,LLMs,55.03101091,78.05307106,Baseline prompt,Baseline prompt
70e0a4ef66225624fdaef436c853bcff.pickle,GPT-5,0.5,stone,melody,courage,hammer,thunder,bread,spider,elbow,justice,pillow,LLMs,54.29873347,77.18574172,Baseline prompt,Baseline prompt
814bfe191ab27691d014850a59ded028.pickle,GPT-5,0.5,chair,river,thunder,justice,apple,hammer,dream,dog,music,sand,LLMs,51.46015083,77.65539365,Baseline prompt,Baseline prompt
8b6e4e0255d5d9217625759bcd385181.pickle,GPT-5,0.5,hammer,chair,bread,cat,sand,thunder,freedom,melody,planet,heart,LLMs,51.42248829,77.29827288,Baseline prompt,Baseline prompt
fa09268e0206a6713c9efce1f578cc96.pickle,GPT-5,0.5,mountain,apple,cat,hammer,cloud,music,justice,dream,book,fire,LLMs,51.98232133,79.72609301,Baseline prompt,Baseline prompt
66e6525f2099517d3abbbe749ec077c8.pickle,GPT-5,0.5,hammer,river,thunder,bread,mirror,clay,music,justice,island,clock,LLMs,52.30310143,78.4914127,Baseline prompt,Baseline prompt
a254239792b9e144f4e23f597bb1332f.pickle,GPT-5,0.5,apple,hammer,cloud,melody,justice,brick,shadow,dream,sand,clock,LLMs,53.26601814,78.39285837,Baseline prompt,Baseline prompt
75c692891e2a8db38fd16b60e5ad71ad.pickle,GPT-5,0.5,apple,hammer,cloud,justice,melody,thunder,sand,lantern,dream,planet,LLMs,55.17807152,77.54440493,Baseline prompt,Baseline prompt
69f10269dc56807458ad931a64e680a6.pickle,GPT-5,0.5,cat,hammer,thunder,freedom,bread,river,chair,star,shadow,music,LLMs,52.47426045,79.42252017,Baseline prompt,Baseline prompt
63fbc0ea4d50b021b378753e96009de2.pickle,GPT-5,0.5,mountain,spoon,thunder,justice,melody,shadow,dream,bread,language,ocean,LLMs,50.13629275,74.51565874,Baseline prompt,Baseline prompt
c966d901d2de837bea50bc024dab4fb4.pickle,GPT-5,0.5,hammer,ocean,freedom,thunder,whale,mirror,bread,galaxy,puzzle,cactus,LLMs,53.4963354,78.79166264,Baseline prompt,Baseline prompt
79798dd8ccabf4c74b5c93b1ad75dd33.pickle,GPT-5,0.5,stone,river,music,cloud,justice,table,fire,laughter,shadow,bread,LLMs,46.4122227,75.98035484,Baseline prompt,Baseline prompt
2d0024cada077aea02324f27b8e57669.pickle,GPT-5,0.5,apple,hammer,butterfly,boulder,melody,justice,thunder,dream,rainbow,time,LLMs,57.27949403,79.74626093,Baseline prompt,Baseline prompt
ec5b416d5c3973c67a98298947105740.pickle,GPT-5,0.5,lamp,river,music,justice,bread,robot,cloud,brick,whisper,mountain,LLMs,56.68784395,83.67654575,Baseline prompt,Baseline prompt
de16db32a08b6a2bc962d5871bd61cca.pickle,GPT-5,0.5,hammer,mountain,freedom,thunder,cat,bread,chair,hand,star,music,LLMs,51.01767025,77.53725083,Baseline prompt,Baseline prompt
dfe24912918b404e8d5e3aa14bda7a20.pickle,GPT-5,0.5,mountain,laughter,spoon,river,thunder,bird,shadow,freedom,brick,salt,LLMs,48.38532535,71.03020235,Baseline prompt,Baseline prompt
f21e4d57991a9706a94c13e3ea997849.pickle,GPT-5,0.5,hammer,bread,rain,shadow,justice,melody,joy,clock,forest,memory,LLMs,51.38671967,75.14952244,Baseline prompt,Baseline prompt
13ff973662e422574c9dd918d1c51edd.pickle,GPT-5,0.5,elephant,hammer,thunder,justice,bread,ocean,melody,lantern,heart,dream,LLMs,56.948937,78.27371165,Baseline prompt,Baseline prompt
4d714619bef31d60ded5747e6856c7f0.pickle,GPT-5,0.5,stone,music,wheel,cloud,justice,pepper,laughter,mirror,shadow,tiger,LLMs,55.917239,81.67896195,Baseline prompt,Baseline prompt
57849a7698d42e27e0da9e67e5934b09.pickle,GPT-5,0.5,stone,melody,justice,mirror,cactus,cloud,hammer,honey,shadow,star,LLMs,56.60197721,81.07507433,Baseline prompt,Baseline prompt
934d90bacee3b1ca19dc2195c9ebffe9.pickle,GPT-5,0.5,mountain,spoon,justice,ocean,ash,fox,galaxy,dream,thunder,bread,LLMs,54.76606077,79.42679114,Baseline prompt,Baseline prompt
43279d078f3ae2ede4d5fa0328da5490.pickle,GPT-5,0.5,apple,river,idea,chair,music,shadow,brick,wind,laughter,tiger,LLMs,45.99524061,76.63283223,Baseline prompt,Baseline prompt
eca0a1d427bd4ff0e6dc88c306adcca0.pickle,GPT-5,0.5,thunder,justice,lantern,mirror,bread,brick,melody,hammer,cloud,river,LLMs,55.25410313,80.12798565,Baseline prompt,Baseline prompt
19586b8d1bb11f697fc9642c5f73fe54.pickle,GPT-5,0.5,stone,cloud,hammer,apple,justice,music,ocean,lamp,dream,thunder,LLMs,51.23990857,78.08037221,Baseline prompt,Baseline prompt
