record_id,data_generation,model_name,provider,batch,temperature,region,reasoning,model_year,parse_status,source_file,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,raw_response_text
cnall_000021,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,courage,sunlight,harmony,dream,freedom,
cnall_000022,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,quilt,sunset,umbrella,whisper,zephyr,
cnall_000023,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,courage,feather,galaxy,laughter,wisdom,
cnall_000024,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,sunlight,whisper,canvas,harmony,rhythm,
cnall_000025,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,chair,melody,justice,pebble,cloud,laughter,freedom,mirror,whisper,harmony,
cnall_000026,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pencil,sunset,wisdom,feather,mirror,journey,
cnall_000027,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,freedom,feather,courage,mirror,dream,
cnall_000028,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,idea,river,music,cloud,book,freedom,flower,time,
cnall_000029,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,song,justice,window,cloud,idea,chair,freedom,ocean,love,
cnall_000030,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,chair,melody,justice,cloud,laughter,mirror,courage,autumn,harmony,freedom,
cnall_000031,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,melody,justice,window,dream,courage,table,harmony,freedom,cloud,
cnall_000032,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,book,dream,flower,justice,melody,ocean,puzzle,rhythm,wisdom,
cnall_000033,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,spoon,thought,window,zeal,harmony,texture,
cnall_000034,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,emotion,chair,idea,cloud,freedom,book,time,flower,justice,
cnall_000035,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,freedom,feather,mirror,laughter,dream,
cnall_000036,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,book,cloud,dream,flower,harmony,justice,laughter,melody,universe,
cnall_000037,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,spoon,truth,universe,warmth,zephyr,zest,
cnall_000038,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,serenity,telescope,velvet,whisper,zephyr,
cnall_000039,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pencil,sunset,trust,whisper,zephyr,zest,
cnall_000040,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,blanket,courage,diamond,emotion,freedom,harmony,idea,journey,kindness,
cnall_000041,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,freedom,flower,knowledge,dream,time,
cnall_000042,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,sunset,whisper,zephyr,canvas,harmony,
cnall_000043,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,flower,book,idea,chair,melody,cloud,freedom,time,ocean,dream,
cnall_000044,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pencil,river,silence,time,window,zephyr,
cnall_000045,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,book,cloud,dream,freedom,harmony,invention,journey,kindness,laughter,
cnall_000046,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,river,cloud,chair,idea,melody,diamond,freedom,ocean,laughter,
cnall_000047,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,book,cloud,dream,flower,harmony,journey,kindness,laughter,melody,
cnall_000048,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,freedom,feather,mirror,laughter,universe,
cnall_000049,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,courage,feather,memory,harmony,dream,
cnall_000050,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,emotion,chair,idea,ocean,music,freedom,cloud,book,time,
cnall_000051,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,sunlight,idea,blanket,laughter,mirror,
cnall_000052,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,chair,freedom,ocean,idea,feather,time,
cnall_000053,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,chair,freedom,ocean,dream,brush,knowledge,
cnall_000054,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,book,cloud,dream,emotion,flower,happiness,journey,knowledge,laughter,
cnall_000055,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pencil,sunlight,wheel,wisdom,zephyr,zygote,
cnall_000056,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,freedom,autumn,mirror,laughter,dream,
cnall_000057,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,river,justice,cloud,melody,chair,courage,mirror,dream,liberty,
cnall_000058,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,courage,horizon,dream,rhythm,freedom,
cnall_000059,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pencil,serenity,telescope,velvet,zephyr,zygote,
cnall_000060,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,butterfly,justice,melody,pebble,telescope,whisper,zephyr,canvas,harmony,
cnall_000061,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,chair,melody,justice,pebble,harmony,freedom,cloud,curiosity,mirror,laughter,
cnall_000062,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pencil,serenity,telescope,umbrella,zephyr,zircon,
cnall_000063,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pencil,silence,texture,wisdom,zephyr,zircon,
cnall_000064,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,serenity,tapestry,umbrella,zephyr,zircon,
cnall_000065,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,emotion,chair,idea,ocean,song,mountain,justice,book,flower,
cnall_000066,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,book,cloud,dream,flower,justice,melody,ocean,rhythm,umbrella,
cnall_000067,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pencil,serenity,telescope,velvet,waterfall,zephyr,
cnall_000068,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,justice,melody,mirror,ocean,painting,silence,table,whisper,wisdom,
cnall_000069,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,sunlight,whisper,canvas,harmony,reflection,
cnall_000070,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,freedom,feather,ocean,memory,dream,
cnall_000071,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,happiness,chair,justice,flower,freedom,book,harmony,cloud,knowledge,
cnall_000072,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,idea,cloud,melody,justice,pebble,freedom,mirror,emotion,
cnall_000073,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,chair,melody,justice,pebble,imagination,curtain,freedom,mirror,laughter,harmony,
cnall_000074,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,melody,cushion,justice,cloud,rhythm,mirror,freedom,pebble,harmony,
cnall_000075,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,justice,symphony,pebble,laughter,horizon,curiosity,tapestry,whisper,melody,
cnall_000076,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,serenity,telescope,velvet,zephyr,zygote,
cnall_000077,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,idea,ocean,song,justice,cloud,memory,freedom,flower,
cnall_000078,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,courage,feather,harmony,shadow,wisdom,
cnall_000079,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,courage,sunset,knowledge,feather,laughter,
cnall_000080,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,book,cloud,dream,flower,happiness,justice,knowledge,laughter,melody,
cnall_000081,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,serenity,telescope,velvet,whisper,zephyr,
cnall_000082,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,justice,melody,cloud,pencil,freedom,mirror,laughter,river,
cnall_000083,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,melody,justice,mirror,cloud,freedom,chair,laughter,ocean,dream,
cnall_000084,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,emotion,table,idea,flower,justice,melody,freedom,cloud,wisdom,
cnall_000085,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,melody,justice,pebble,imagination,curtain,laughter,horizon,feather,harmony,
cnall_000086,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,courage,rainbow,harmony,dream,freedom,
cnall_000087,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pencil,river,silence,time,whisper,wonder,
cnall_000088,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,table,cloud,justice,melody,pencil,freedom,ocean,mirror,laughter,dream,
cnall_000089,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,spoon,freedom,horizon,curiosity,harmony,whisper,
cnall_000090,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,book,cloud,dream,flower,idea,leaf,music,table,wind,
cnall_000091,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,justice,melody,ocean,puzzle,rainbow,silence,time,whisper,
cnall_000092,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,freedom,feather,laughter,mirror,universe,
cnall_000093,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,justice,melody,pebble,sunlight,thought,whisper,zephyr,zest,
cnall_000094,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,freedom,ocean,memory,laughter,shadow,
cnall_000095,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,chair,idea,ocean,rhythm,freedom,mirror,
cnall_000096,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,chair,freedom,ocean,knowledge,flower,time,
cnall_000097,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,freedom,chair,idea,ocean,justice,flower,time,knowledge,harmony,
cnall_000098,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,rhythm,window,courage,melody,mountain,freedom,harmony,
cnall_000099,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,song,justice,window,dream,chair,freedom,cloud,laughter,ocean,
cnall_000100,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,melody,justice,pebble,wisdom,curtain,laughter,canvas,harmony,horizon,
cnall_000101,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,melody,justice,curtain,dream,pebble,courage,canvas,harmony,butterfly,
cnall_000102,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,book,cloud,dream,freedom,harmony,journey,laughter,melody,wisdom,
cnall_000103,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,justice,melody,ocean,puzzle,serenity,telescope,whisper,zephyr,
cnall_000104,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,book,cloud,dream,freedom,harmony,journey,kindness,laughter,melody,
cnall_000105,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,silence,telescope,umbrella,whisper,zephyr,
cnall_000106,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,courage,dream,ocean,freedom,butterfly,
cnall_000107,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,courage,window,melody,justice,feather,cloud,invention,harmony,freedom,
cnall_000108,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,chair,melody,justice,pebble,cloud,freedom,spoon,laughter,canvas,harmony,
cnall_000109,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,chair,freedom,ocean,idea,flower,time,
cnall_000110,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,freedom,whisper,mirror,courage,flower,
cnall_000111,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,freedom,hammer,justice,mirror,rhythm,snowflake,velvet,zephyr,
cnall_000112,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,serenity,telescope,vase,whisper,zephyr,
cnall_000113,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,sunset,thought,whisper,zephyr,zest,
cnall_000114,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,courage,sunlight,dream,laughter,freedom,
cnall_000115,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,quilt,serenity,twig,umbrella,zephyr,
cnall_000116,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,justice,melody,ocean,pebble,silence,sunlight,velocity,wisdom,
cnall_000117,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,courage,sunlight,harmony,dream,freedom,
cnall_000118,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,chair,dream,freedom,ocean,idea,butterfly,
cnall_000119,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pencil,serenity,telescope,whisper,zephyr,zest,
cnall_000120,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,chair,freedom,whisper,ocean,laughter,dream,
cnall_000121,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,symphony,justice,feather,cloud,melody,freedom,pebble,laughter,harmony,
cnall_000122,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pencil,river,silence,time,warmth,zephyr,
cnall_000123,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,justice,melody,pebble,sorrow,umbrella,whisper,zephyr,zygote,
cnall_000124,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,sunlight,whisper,zephyr,canvas,harmony,
cnall_000125,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,radiance,serenity,tapestry,whisper,zephyr,
cnall_000126,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pencil,sunset,universe,whisper,zephyr,zygote,
cnall_000127,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,wisdom,feather,ocean,laughter,mirror,
cnall_000128,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,melody,justice,cloud,emotion,table,freedom,river,idea,harmony,
cnall_000129,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,sunlight,thought,umbrella,whisper,zephyr,
cnall_000130,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,telescope,freedom,canvas,river,thought,chair,
cnall_000131,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,emotion,table,justice,cloud,melody,freedom,flower,knowledge,time,
cnall_000132,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,freedom,feather,laughter,universe,curiosity,
cnall_000133,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,quilt,sunlight,whisper,zephyr,zest,
cnall_000134,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,book,cloud,dream,freedom,harmony,journey,kindness,laughter,melody,
cnall_000135,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,song,justice,window,memory,butterfly,freedom,cloud,laughter,chair,
cnall_000136,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,serenity,telescope,whisper,zephyr,zest,
cnall_000137,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,silence,texture,voyage,whisper,zephyr,
cnall_000138,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pillow,telescope,whisper,zephyr,ember,mosaic,
cnall_000139,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,justice,melody,cloud,freedom,mirror,courage,river,harmony,
cnall_000140,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,serenity,umbrella,whisper,zephyr,zest,
cnall_000141,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,song,justice,cloud,chair,freedom,melody,truth,flower,time,
cnall_000142,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,justice,melody,pebble,silence,universe,wisdom,zephyr,zygote,
cnall_000143,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,sunlight,thought,whisper,zephyr,zest,
cnall_000144,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,serenity,telescope,umbrella,whisper,zephyr,
cnall_000145,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,trust,whisper,zephyr,rhythm,serenity,
cnall_000146,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,courage,dream,mirror,leaf,time,
cnall_000147,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,silence,telescope,whisper,zephyr,zest,
cnall_000148,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,justice,melody,pebble,telescope,wisdom,feather,emotion,mirror,
cnall_000149,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,silence,texture,universe,whisper,zephyr,
cnall_000150,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,chair,freedom,ocean,idea,feather,time,
cnall_000151,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,quilt,sunlight,whisper,zephyr,zucchini,
cnall_000152,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,justice,melody,pebble,sunset,trust,whisper,zephyr,zest,
cnall_000153,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,freedom,ocean,harmony,knowledge,imagination,
cnall_000154,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,serenity,tapestry,velocity,whisper,zephyr,
cnall_000155,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,chair,freedom,ocean,dream,knowledge,flower,
cnall_000156,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,bridge,harmony,ocean,chair,justice,melody,cloud,freedom,flower,
cnall_000157,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,idea,ocean,song,justice,cloud,courage,time,freedom,
cnall_000158,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,melody,justice,table,freedom,cloud,courage,laughter,ocean,wisdom,
cnall_000159,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,idea,song,cloud,justice,mirror,courage,rhythm,freedom,
cnall_000160,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,quilt,sunlight,telescope,whisper,zephyr,
