index,provider,model,data_source,model_year,collected_at,temperature,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,dat_score
c85709c39b811f81e4a8ee9ffe249489.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:42:01,midpoint,sun,chair,happiness,book,mountain,flower,coffee,umbrella,music,bicycle,
1650e464eba7d07d7d73cf7a3b1572f8.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:45:00,midpoint,apple,chair,love,mountain,book,cloud,happiness,bicycle,beach,music,
db7b19c9e3cb97ea5659b0d9c04d391d.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:35:50,midpoint,flower,book,happiness,chair,mountain,telephone,cookie,music,sunshine,diamond,
8f04055182684c1a205e3d66f2ae8ba6.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:23:15,midpoint,chair,dog,happiness,ocean,book,umbrella,mountain,computer,laughter,tree,
2bc25859a5c59d5a55f4fc2e65803958.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:54:23,midpoint,apple,chair,love,ocean,book,sun,happiness,tree,music,butterfly,
49ac9179e8f2253a2e020360267e2a2c.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:36:59,midpoint,dog,chair,happiness,mountain,apple,book,freedom,umbrella,laughter,ocean,
c040f116a4f605bdcebc26c8552032cf.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:43:54,midpoint,chair,apple,happiness,mountain,book,umbrella,freedom,music,cloud,bicycle,
9d6d4d0534f2db27dbccacb809e5ffe4.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:52:38,midpoint,dog,moon,happiness,chair,water,book,music,sunshine,mountain,love,
91915f9df3435d213ae5d3a418ac5cdc.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:40:36,midpoint,apple,car,happiness,tree,book,sun,chair,music,cloud,dog,
bd1d221015a7aeb6205c0df8ccd6d6a4.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:27:35,midpoint,dog,chair,happiness,tree,computer,ocean,love,book,car,music,
7092f33ed67802bc4627f1f43981238a.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:26:12,midpoint,chair,dog,happiness,airplane,tree,book,music,pizza,ocean,computer,
76c553986d39f885381791f659dd6920.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:38:41,midpoint,apple,chair,love,ocean,hat,music,cloud,book,freedom,star,
8956e2e277ff7a5cd29a7db64a60ce9a.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:49:42,midpoint,tree,chair,love,ocean,computer,happiness,book,elephant,sky,music,
7e056a642323fd6d70048f99a7d5d702.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:54:52,midpoint,dog,book,happiness,tree,car,ocean,chair,love,mountain,clock,
0ef542e7ce77d15918b7ae2bbd7473a3.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:36:18,midpoint,chair,apple,love,book,bicycle,cloud,happiness,tree,hammer,ocean,
5a664035f8d8fd0b7502b909cdf42f98.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:24:57,midpoint,book,chair,love,tree,car,happiness,ocean,phone,music,diamond,
1b42ee690caaecc23cc1bebdcee995c6.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:23:39,midpoint,dog,sky,book,love,chair,apple,freedom,water,clock,happiness,
dfad705566915c7f2802579ab888bc69.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:23:29,midpoint,dog,apple,chair,love,book,sky,hammer,happiness,tree,ocean,
ed19771d59509d9f380c233ad3264436.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:47:05,midpoint,dog,house,love,tree,computer,banana,happiness,book,ocean,mountain,
e4c696106e7e0af44b87480fe3172bf7.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:23:04,midpoint,chair,mountain,love,book,car,music,tree,happiness,computer,ocean,
65a3cc597228c976ef6c973e06d244d4.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:46:39,midpoint,flower,chair,happiness,book,mountain,sandwich,computer,umbrella,music,coffee,
c4a9b7f4170482abe8f7ef5ebe02a957.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:53:42,midpoint,chair,cloud,book,apple,happiness,hammer,mountain,music,ocean,bicycle,
9acdb965f67a6f8fc6b7a27f31633d91.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:24:38,midpoint,apple,chair,happiness,mountain,elephant,book,sunlight,hammer,love,ocean,
553a99a05e02afa55f1a770ec4c3a80d.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:27:04,midpoint,ocean,chair,happiness,mountain,book,tree,love,cloud,bicycle,freedom,
7337d76a0a8d4d8b52e3312daaecf7db.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:39:56,midpoint,dog,chair,love,tree,happiness,book,car,ocean,hat,music,
ed8b7589c01a0b885c5371ead41a512f.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:53:28,midpoint,tree,book,happiness,spoon,cloud,chair,moon,music,car,butterfly,
7b5434f62b8d2b5bd8a78b4f7fae2de8.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:42:06,midpoint,dog,banana,happiness,table,umbrella,mountain,book,computer,flower,music,
80f4ede47ff7dc280a926eee93b1e436.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:40:19,midpoint,book,banana,chair,love,tree,car,happiness,hammer,cloud,music,
f4cff5489e8ed45118968dec6bc74117.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:26:44,midpoint,book,chair,love,banana,sky,music,courage,coffee,dog,happiness,
fb78fa298a29f1747d3210ce9256eb76.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:23:42,midpoint,chair,banana,love,mountain,computer,happiness,book,elephant,sunlight,music,
37332b3d1df6e981c4bdcffd8131ae0d.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:24:01,midpoint,apple,table,love,book,car,sky,music,tree,happiness,spoon,
02b4ad40154bad899067f204307421ff.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:43:24,midpoint,book,chair,love,tree,car,happiness,water,music,phone,bread,
fd2fba44007e77192262df914604283e.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:44:24,midpoint,dog,book,happiness,chair,sun,cloud,time,rock,water,laughter,
7402a624a6f52318da25afe23437cfcc.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:52:14,midpoint,dog,chair,happiness,tree,banana,umbrella,love,book,mountain,computer,
db1781ac292d33170e7f1d79b45358c9.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:53:14,midpoint,book,chair,happiness,mountain,dog,umbrella,freedom,ocean,apple,laughter,
c6d9dd3ff20147325a1a2dc707585025.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:54:16,midpoint,ocean,bicycle,happiness,book,hammer,cloud,tree,museum,love,laughter,
e83537188b7faff9bd8cf2250d55b6ab.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:48:17,midpoint,dog,chair,love,mountain,book,banana,freedom,car,music,cloud,
5701226de87f2363339573c3388a727d.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:39:54,midpoint,bird,chair,freedom,banana,computer,love,mountain,book,sunset,laughter,
cd0407e38b5a47dda1b960c633b8fe15.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:49:49,midpoint,dog,mountain,book,happiness,chair,sunflower,music,bicycle,ocean,cloud,
6397b149d84f80fec9f8688eb278137c.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:23:51,midpoint,dog,moon,happiness,chair,pineapple,courage,book,cloud,laughter,door,
e2e539db959b09b5c51b6d45605d8404.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:25:15,midpoint,dog,book,happiness,tree,car,ocean,music,basketball,chair,sun,
187f06658cd037234f50961fdf3f4c6a.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:46:51,midpoint,apple,chair,love,book,sun,music,mountain,happiness,airplane,diamond,
ff24d6c6326f43d9785e411aea113544.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:37:37,midpoint,table,elephant,happiness,hammer,chair,banana,love,mountain,book,galaxy,
20f3fa08202162e53fdcedb1b3620474.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:36:21,midpoint,chair,apple,happiness,mountain,book,car,oxygen,laughter,lamp,river,
21c945548190c9820323f78ddfc0760a.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:42:25,midpoint,apple,chair,love,book,car,tree,happiness,phone,music,ocean,
b3d16a1bd2b5e1096fa1570fbda21556.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:22:27,midpoint,flower,chair,happiness,mountain,book,sunset,tree,laptop,freedom,ocean,
08d345a4897e3db96e169435f3950450.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:43:28,midpoint,dog,table,happiness,book,ocean,car,mountain,pencil,music,sun,
e2216f4f2778543c995b21fc109b3791.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:47:24,midpoint,tree,car,love,book,rock,dream,chair,ocean,laughter,sun,
3ea3ad0c5ab0e4d9c14bb8222b7302a1.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:42:50,midpoint,apple,chair,happiness,ocean,hammer,elephant,laptop,freedom,mountain,book,
e559b3a4e1dc3e17ea264dece20481ae.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:25:57,midpoint,chair,apple,happiness,ocean,book,hammer,cloud,guitar,diamond,bicycle,
b741918568f3e6787dcd5e73aec73820.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:25:15,midpoint,car,tree,love,pencil,camera,happiness,chair,book,ocean,moon,
73b1daba34f518084c561c894a4b0282.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:23:59,midpoint,apple,chair,love,book,sun,elephant,freedom,mountain,music,clock,
0bedd6dce2416cbd62f08a038930bb24.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:48:34,midpoint,chair,apple,happiness,book,elephant,mountain,microphone,love,bicycle,cloud,
ebd1ffd728cd7cd07a79a7dbb0e3ad72.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:50:40,midpoint,chair,banana,love,guitar,cloud,mountain,book,fire,time,laughter,
e6f8f63ab0bc20591c66f6133afb7b86.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:44:51,midpoint,dog,tree,happiness,book,bicycle,ocean,cloud,chair,music,butterfly,
98f22735af33432707543294cf424b0b.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:50:25,midpoint,apple,chair,love,mountain,book,water,happiness,cloud,guitar,laughter,
fa059455fe184af78a69d41fe2e2d47f.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:36:11,midpoint,book,tree,happiness,car,water,chair,mountain,hat,music,pizza,
3ba3ff66b228908b9390ba73bc2b8b04.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:44:27,midpoint,apple,chair,love,ocean,book,freedom,tree,happiness,car,music,
1bc6b1158ed8d308e0a3b1d0896045c6.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:50:03,midpoint,car,tree,love,book,phone,elephant,music,ocean,chair,happiness,
d00a5a4acb650562f0841b2d6a3a6521.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:45:59,midpoint,dog,chair,love,book,tree,happiness,car,ocean,music,diamond,
0f44d37c7177a7bdfa581079f774e9c8.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:43:11,midpoint,book,chair,love,cloud,tree,happiness,computer,flower,truth,music,
c1da93365c4a74fbdcefe5910ad48f65.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:50:52,midpoint,apple,chair,love,elephant,guitar,freedom,mountain,book,cloud,happiness,
a5f6e8468b2c00222c74fac31e6a2618.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:50:06,midpoint,dog,chair,freedom,banana,computer,happiness,mountain,book,umbrella,galaxy,
31436ee437bd9d9befe1480c91a1da68.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:46:32,midpoint,apple,table,happiness,mountain,book,chair,freedom,sun,car,music,
a19dbd56ecc17552d414e31f5b01c113.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:40:26,midpoint,apple,car,happiness,book,mountain,chair,love,tree,hammer,ocean,
8f6dc3c2837ce577d458c4cbd6c49cc7.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:23:05,midpoint,dog,table,happiness,guitar,mountain,book,love,cloud,chair,diamond,
f11f363af94649379e079ba30080f756.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:40:48,midpoint,carrot,book,ocean,chair,cloud,hammer,love,computer,butterfly,music,
a7123dc22e377b382db095abee170937.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:45:12,midpoint,apple,chair,love,sky,book,hammer,freedom,tree,music,happiness,
1323dc2c56d923336d9354b5de4b22df.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:37:42,midpoint,apple,chair,love,mountain,book,hammer,happiness,cloud,bicycle,clock,
0c0ace952d5da141cf1bd54b4af023c8.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:48:27,midpoint,book,chair,love,tree,computer,happiness,spoon,ocean,time,music,
e72ad7a7322aab852fe3cdcb082bcfdb.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:48:03,midpoint,bird,computer,happiness,rock,umbrella,laughter,tree,book,ocean,chair,
acb4dda95a2bb037cf0971d6e87ca1b7.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:43:06,midpoint,flower,chair,happiness,mountain,computer,book,umbrella,love,guitar,sun,
8c6c553a80765b1db63ee9c0b067dbcb.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:36:47,midpoint,guitar,banana,love,book,mountain,chair,light,shoe,music,spoon,
5aef61253f397f5adbb0f4ba0a9d52a1.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:23:33,midpoint,book,chair,happiness,tree,car,laptop,sunshine,ocean,dog,cake,
108834a33c333f0195cd817c0f9bc981.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:36:45,midpoint,cat,table,happiness,book,mountain,car,love,chair,tree,ocean,
fb2ec419b5b08a3a3d90b09dcba9412e.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:26:59,midpoint,car,apple,chair,love,book,sun,dog,tree,money,happiness,
303e4e6404c56b879a93b6db7011c757.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:51:41,midpoint,chair,banana,love,hammer,sunset,computer,peace,book,mountain,umbrella,
504b1553d5843b372582a3bd71b78278.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:26:12,midpoint,flower,car,happiness,book,mountain,chocolate,chair,love,guitar,ocean,
218ea5c4db9239c47688b61dfe93a6b3.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:22:49,midpoint,dog,chair,love,ocean,banana,computer,happiness,book,sky,rock,
4fe573c4b0ae830b59369cbfa148ed3b.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:47:15,midpoint,apple,table,happiness,guitar,mountain,book,love,bicycle,chair,sunlight,
7ed36c2fa1a20f52aacca89bdfd7a521.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:39:36,midpoint,tree,cloud,book,chair,music,hammer,apple,happiness,mountain,ocean,
e60930e167069eb81a4f45cc5e774968.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:51:51,midpoint,dog,book,happiness,tree,house,music,coffee,ocean,chair,mountain,
a5fd4017b1d56e09ac7c002b91b7384e.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:24:53,midpoint,apple,chair,happiness,bicycle,ocean,book,laughter,hammer,cloud,freedom,
e203ff185b90630aff0eae305edf4078.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:51:01,midpoint,dog,chair,happiness,mountain,guitar,apple,courage,book,ocean,sunglasses,
e42c659547bd28aeb9476d88b13517fe.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:37:55,midpoint,sunflower,chair,happiness,mountain,pineapple,freedom,book,bicycle,stars,umbrella,
9efe2ce451872bf71c0f67ddd73bad66.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:25:42,midpoint,apple,chair,love,book,sun,elephant,happiness,tree,car,ocean,
20fdddb3f88ced7c6ee2681dd55d103a.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:50:37,midpoint,dog,table,happiness,car,mountain,book,ocean,chair,love,tree,
16f7b30a22b37d9b60b6dc26c885974c.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:53:07,midpoint,flower,hammer,happiness,mountain,chair,dog,book,basketball,sun,water,
61db0f39bb0e29e4894b25931c452bc0.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:24:28,midpoint,car,book,tree,happiness,computer,umbrella,coffee,chair,guitar,mountain,
9345cbcbc821a86584e72f5c0f2e2e22.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:36:34,midpoint,dog,book,tree,love,computer,sky,music,cake,courage,ocean,
4bb8110868316e1c3e8fa25fe2d6a67d.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:42:41,midpoint,dog,table,happiness,mountain,laptop,umbrella,freedom,banana,chair,love,
300f7f1471af84a1b5b84cd779728d06.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:40:43,midpoint,apple,chair,love,elephant,sky,book,happiness,ocean,music,key,
280eb91609359f9c8cacfb61684a971f.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:40:39,midpoint,flower,chair,happiness,book,elephant,lake,cookie,airplane,mountain,umbrella,
89a5e4f8c6d64d1cee7025c623944bd7.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:21:47,midpoint,apple,chair,love,mountain,book,hammer,happiness,bicycle,galaxy,coffee,
793e87e623edf485c7e1b23e5caa58a1.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:23:06,midpoint,chair,banana,happiness,computer,ocean,umbrella,freedom,mountain,book,candle,
7f93d43761cf71676e36f671e8ea97a0.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:38:26,midpoint,bird,chair,love,mountain,computer,banana,happiness,book,car,ocean,
42128abdf14c7649357ab790195f8941.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:43:13,midpoint,apple,chair,happiness,cloud,guitar,river,book,mountain,candle,diamond,
c5fa3e301a39fa9676a3d81771eaa8ed.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:40:29,midpoint,tree,book,happiness,chair,ocean,car,sunglasses,music,cloud,mountain,
35343cb00e2ae103438392e6e507f7de.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:47:00,midpoint,flower,book,chair,love,mountain,car,tree,happiness,apple,sky,
6841295f5f91e5b913d9552588aa1b6a.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:46:56,midpoint,dog,book,tree,happiness,table,car,music,ocean,computer,flower,
e21471af2a37d6a6318922604d1ffe1e.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:51:03,midpoint,chair,dog,happiness,computer,ocean,banana,love,book,sky,music,
30f6c196e986722ad0cff8a7ccd4e6d5.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:43:23,midpoint,apple,chair,love,hammer,galaxy,laughter,book,mountain,honesty,umbrella,
adba3dea5b8b5aa45825f0bc1f2bb6f8.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:23:43,midpoint,dog,chair,happiness,book,mountain,apple,freedom,car,sun,hammer,
e8526925716c847e5998b549e5c88e5b.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:25:27,midpoint,dog,chair,love,apple,freedom,book,happiness,cloud,water,music,
1b976463f250afabcf82b507127e680b.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:23:21,midpoint,dog,car,book,happiness,tree,chair,hammer,music,mountain,cloud,
2e0445dfa0528198ffc5085d19e422c4.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:23:39,midpoint,banana,chair,happiness,mountain,book,cloud,bicycle,love,hat,ocean,
f2353be51af4e79810cbab25fa6c3d45.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:54:11,midpoint,apple,chair,love,dog,sky,book,happiness,hammer,ocean,guitar,
866db9a0a68a0b20555d440884f45060.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:25:07,midpoint,chair,banana,happiness,mountain,car,computer,music,book,sun,elephant,
6d1d0e9731ef1e45a48a8fe9aa7f7404.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:52:21,midpoint,apple,chair,happiness,mountain,book,freedom,elephant,laughter,sunlight,ocean,
19a01f33c00e7c02684f02d84ea956a6.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:37:40,midpoint,flower,guitar,happiness,mountain,book,pineapple,umbrella,chair,cloud,bicycle,
11c46e623b91379f74249639f0746fec.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:38:28,midpoint,book,tree,happiness,chair,ocean,computer,love,window,mountain,music,
f8b59000a6fd28c78739275629872e48.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:26:14,midpoint,dog,book,happiness,mountain,coffee,hammer,galaxy,bicycle,laughter,ocean,
ddf087b1977b315b3ea83bb0891e6701.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:22:44,midpoint,dog,chair,happiness,ocean,book,tree,car,freedom,chocolate,courage,
143e708dacfb2e5d92ecaf102705945b.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:46:09,midpoint,apple,chair,love,elephant,music,airplane,book,happiness,spoon,mountain,
c7fc5453df4cf8aa2e6669128b12bd0a.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:23:26,midpoint,book,chair,happiness,mountain,banana,laptop,love,tree,car,sky,
2c75acdb7f8c4b9dd39ee024d5dd8af9.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:43:20,midpoint,car,mountain,book,tree,chair,happiness,cookie,hammer,ocean,music,
7c8ea60d9000ae73af31ccc6a6c30fd4.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:43:41,midpoint,dog,book,happiness,tree,airplane,coffee,mountain,umbrella,piano,sunlight,
5c429672b2aff7d984e702a321e1fe40.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:26:24,midpoint,chair,umbrella,happiness,mountain,book,spaceship,pineapple,love,clock,ocean,
bd81771546500f1a62146a3084304ba3.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:38:11,midpoint,apple,chair,freedom,mountain,love,book,lightning,butterfly,courage,sunset,
d457a46effe42f1f69fbbe467cd77f0a.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:45:43,midpoint,tree,table,happiness,car,flower,book,mountain,clock,music,chair,
21aefbdcb64af163f2c083f81c6cbebe.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:46:46,midpoint,dog,book,happiness,tree,ocean,computer,freedom,chair,sky,music,
13f9391bf28692a41e461bb73a1005d7.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:47:31,midpoint,apple,chair,love,book,mountain,cloud,hammer,laughter,diamond,music,
be87a3bcc9b77ead660c1420fa099093.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:41:11,midpoint,book,chair,happiness,guitar,tree,cloud,hammer,banana,love,mountain,
9ec83746a8992c73e31455cf13e67288.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:26:49,midpoint,chair,elephant,love,guitar,apple,freedom,book,cloud,hammer,laughter,
