model_name,provider,intelligence,region,reasoning,release_date,date_precision,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,between_unit_posaware
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,happiness,mountain,elephant,book,sunlight,hammer,love,ocean,78.982544,74.853282
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,ocean,chair,happiness,mountain,book,tree,love,cloud,bicycle,freedom,72.456108,74.099415
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,love,tree,happiness,book,car,ocean,hat,music,73.041000,75.252452
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,tree,book,happiness,spoon,cloud,chair,moon,music,car,butterfly,78.077766,75.796494
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,banana,happiness,table,umbrella,mountain,book,computer,flower,music,78.004906,75.683416
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,book,banana,chair,love,tree,car,happiness,hammer,cloud,music,75.016006,76.669514
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,book,chair,love,banana,sky,music,courage,coffee,dog,happiness,76.377777,76.375219
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,banana,love,mountain,computer,happiness,book,elephant,sunlight,music,76.794525,76.699234
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,table,love,book,car,sky,music,tree,happiness,spoon,74.315529,74.577910
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,book,chair,love,tree,car,happiness,water,music,phone,bread,74.634048,75.705593
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,book,happiness,chair,sun,cloud,time,rock,water,laughter,74.514412,75.031448
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,happiness,tree,banana,umbrella,love,book,mountain,computer,72.111969,74.370030
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,book,chair,happiness,mountain,dog,umbrella,freedom,ocean,apple,laughter,75.369102,76.377949
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,ocean,bicycle,happiness,book,hammer,cloud,tree,museum,love,laughter,79.465691,76.013181
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,love,mountain,book,banana,freedom,car,music,cloud,75.155998,75.375435
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,bird,chair,freedom,banana,computer,love,mountain,book,sunset,laughter,76.057465,74.829755
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,mountain,book,happiness,chair,sunflower,music,bicycle,ocean,cloud,79.889145,76.507588
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,moon,happiness,chair,pineapple,courage,book,cloud,laughter,door,78.488815,76.403341
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,book,happiness,tree,car,ocean,music,basketball,chair,sun,75.552704,75.511983
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,book,sun,music,mountain,happiness,airplane,diamond,74.131241,74.015775
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,table,elephant,happiness,hammer,chair,banana,love,mountain,book,galaxy,74.903763,75.874606
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,apple,happiness,mountain,book,car,oxygen,laughter,lamp,river,80.883438,77.752095
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,book,car,tree,happiness,phone,music,ocean,74.844650,74.389661
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,flower,chair,happiness,mountain,book,sunset,tree,laptop,freedom,ocean,73.178131,74.760732
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,table,happiness,book,ocean,car,mountain,pencil,music,sun,75.551941,74.855416
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,tree,car,love,book,rock,dream,chair,ocean,laughter,sun,71.387840,74.404607
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,happiness,ocean,hammer,elephant,laptop,freedom,mountain,book,79.523689,75.565697
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,apple,happiness,ocean,book,hammer,cloud,guitar,diamond,bicycle,80.763260,77.304088
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,car,tree,love,pencil,camera,happiness,chair,book,ocean,moon,76.515717,76.809425
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,book,sun,elephant,freedom,mountain,music,clock,75.807877,74.224299
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,apple,happiness,book,elephant,mountain,microphone,love,bicycle,cloud,80.911346,77.578094
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,banana,love,guitar,cloud,mountain,book,fire,time,laughter,78.200897,77.046590
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,tree,happiness,book,bicycle,ocean,cloud,chair,music,butterfly,76.639053,75.307166
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,mountain,book,water,happiness,cloud,guitar,laughter,75.285660,73.694893
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,book,tree,happiness,car,water,chair,mountain,hat,music,pizza,75.536911,75.499297
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,ocean,book,freedom,tree,happiness,car,music,75.487350,74.451417
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,car,tree,love,book,phone,elephant,music,ocean,chair,happiness,74.751717,76.772721
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,love,book,tree,happiness,car,ocean,music,diamond,73.041000,75.151305
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,book,chair,love,cloud,tree,happiness,computer,flower,truth,music,75.647400,76.747725
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,elephant,guitar,freedom,mountain,book,cloud,happiness,76.258018,74.505377
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,freedom,banana,computer,happiness,mountain,book,umbrella,galaxy,76.548264,75.609630
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,table,happiness,mountain,book,chair,freedom,sun,car,music,76.262337,75.345516
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,car,happiness,book,mountain,chair,love,tree,hammer,ocean,75.783524,74.728724
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,table,happiness,guitar,mountain,book,love,cloud,chair,diamond,74.371613,75.477352
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,carrot,book,ocean,chair,cloud,hammer,love,computer,butterfly,music,81.114235,76.933970
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,sky,book,hammer,freedom,tree,music,happiness,77.445061,74.799881
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,mountain,book,hammer,happiness,cloud,bicycle,clock,77.692101,74.834434
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,book,chair,love,tree,computer,happiness,spoon,ocean,time,music,77.197121,76.627870
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,bird,computer,happiness,rock,umbrella,laughter,tree,book,ocean,chair,75.658577,75.788356
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,flower,chair,happiness,mountain,computer,book,umbrella,love,guitar,sun,78.029823,75.955950
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,guitar,banana,love,book,mountain,chair,light,shoe,music,spoon,75.289375,76.643897
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,book,chair,happiness,tree,car,laptop,sunshine,ocean,dog,cake,78.056870,76.781729
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,cat,table,happiness,book,mountain,car,love,chair,tree,ocean,73.674477,74.928895
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,car,apple,chair,love,book,sun,dog,tree,money,happiness,74.197350,76.163040
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,banana,love,hammer,sunset,computer,peace,book,mountain,umbrella,78.686478,77.069539
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,flower,car,happiness,book,mountain,chocolate,chair,love,guitar,ocean,76.664528,75.852168
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,love,ocean,banana,computer,happiness,book,sky,rock,75.376114,74.802543
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,table,happiness,guitar,mountain,book,love,bicycle,chair,sunlight,75.424988,75.027307
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,tree,cloud,book,chair,music,hammer,apple,happiness,mountain,ocean,79.634056,76.574595
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,book,happiness,tree,house,music,coffee,ocean,chair,mountain,72.110611,75.268000
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,happiness,bicycle,ocean,book,laughter,hammer,cloud,freedom,78.307274,74.687807
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,happiness,mountain,guitar,apple,courage,book,ocean,sunglasses,78.271812,75.583612
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,sunflower,chair,happiness,mountain,pineapple,freedom,book,bicycle,stars,umbrella,80.123100,77.068316
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,book,sun,elephant,happiness,tree,car,ocean,74.927917,73.926479
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,table,happiness,car,mountain,book,ocean,chair,love,tree,75.551941,75.248126
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,flower,hammer,happiness,mountain,chair,dog,book,basketball,sun,water,78.594604,75.744809
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,car,book,tree,happiness,computer,umbrella,coffee,chair,guitar,mountain,77.006615,77.645004
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,book,tree,love,computer,sky,music,cake,courage,ocean,72.516937,75.437404
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,table,happiness,mountain,laptop,umbrella,freedom,banana,chair,love,76.778648,76.194526
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,elephant,sky,book,happiness,ocean,music,key,74.815277,73.911512
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,flower,chair,happiness,book,elephant,lake,cookie,airplane,mountain,umbrella,78.066307,75.619731
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,mountain,book,hammer,happiness,bicycle,galaxy,coffee,77.692101,74.834434
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,banana,happiness,computer,ocean,umbrella,freedom,mountain,book,candle,76.065956,76.621528
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,bird,chair,love,mountain,computer,banana,happiness,book,car,ocean,75.613144,74.651924
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,happiness,cloud,guitar,river,book,mountain,candle,diamond,80.968925,75.563434
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,tree,book,happiness,chair,ocean,car,sunglasses,music,cloud,mountain,79.213760,76.017758
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,flower,book,chair,love,mountain,car,tree,happiness,apple,sky,72.851036,75.755691
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,book,tree,happiness,table,car,music,ocean,computer,flower,75.543068,76.718630
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,dog,happiness,computer,ocean,banana,love,book,sky,music,75.376114,75.374666
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,hammer,galaxy,laughter,book,mountain,honesty,umbrella,79.989258,76.519947
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,happiness,book,mountain,apple,freedom,car,sun,hammer,76.401505,75.329054
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,love,apple,freedom,book,happiness,cloud,water,music,72.721161,75.437954
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,car,book,happiness,tree,chair,hammer,music,mountain,cloud,77.389320,76.882154
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,banana,chair,happiness,mountain,book,cloud,bicycle,love,hat,ocean,78.491257,75.847747
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,dog,sky,book,happiness,hammer,ocean,guitar,73.956924,73.811798
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,banana,happiness,mountain,car,computer,music,book,sun,elephant,78.325760,76.645756
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,happiness,mountain,book,freedom,elephant,laughter,sunlight,ocean,76.868698,74.961139
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,flower,guitar,happiness,mountain,book,pineapple,umbrella,chair,cloud,bicycle,79.634758,77.022603
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,book,tree,happiness,chair,ocean,computer,love,window,mountain,music,74.915726,75.227278
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,book,happiness,mountain,coffee,hammer,galaxy,bicycle,laughter,ocean,80.640045,77.091630
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,happiness,ocean,book,tree,car,freedom,chocolate,courage,75.873444,74.932253
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,elephant,music,airplane,book,happiness,spoon,mountain,76.506287,74.873893
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,book,chair,happiness,mountain,banana,laptop,love,tree,car,sky,77.712219,76.461959
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,car,mountain,book,tree,chair,happiness,cookie,hammer,ocean,music,77.584251,76.443143
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,book,happiness,tree,airplane,coffee,mountain,umbrella,piano,sunlight,74.442879,75.398334
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,umbrella,happiness,mountain,book,spaceship,pineapple,love,clock,ocean,82.678970,78.376590
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,freedom,mountain,love,book,lightning,butterfly,courage,sunset,77.276405,74.733473
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,tree,table,happiness,car,flower,book,mountain,clock,music,chair,73.707352,74.644588
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,book,happiness,tree,ocean,computer,freedom,chair,sky,music,75.193428,75.600919
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,book,mountain,cloud,hammer,laughter,diamond,music,78.996986,75.085821
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,book,chair,happiness,guitar,tree,cloud,hammer,banana,love,mountain,80.625099,77.165179
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,elephant,love,guitar,apple,freedom,book,cloud,hammer,laughter,76.992950,77.269017
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,table,freedom,tree,happiness,car,book,sun,love,mountain,75.809219,75.438487
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,happiness,tree,book,cloud,music,bottle,love,rock,computer,79.533699,77.685361
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,happiness,book,ocean,bicycle,music,cloud,flower,freedom,78.915977,74.849078
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,love,mountain,banana,book,happiness,computer,sky,flower,74.391876,75.060207
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,ocean,chair,freedom,elephant,laptop,happiness,mountain,book,umbrella,galaxy,75.916183,75.860180
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,candle,tree,happiness,book,spoon,sky,bicycle,hammer,umbrella,music,76.186485,75.607592
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,elephant,book,happiness,mountain,umbrella,laughter,diamond,75.281631,74.415962
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,mountain,book,bicycle,happiness,cloud,guitar,ocean,75.449707,74.695172
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,umbrella,mountain,book,freedom,hammer,sunset,galaxy,76.051697,75.050536
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,car,book,mountain,happiness,chair,cookie,air,love,tree,rain,79.143211,77.746069
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,car,tree,happiness,book,chair,ocean,apple,freedom,love,computer,77.446381,75.734616
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,freedom,ocean,happiness,hammer,mountain,book,music,bicycle,77.135429,74.722413
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,book,apple,happiness,chair,mountain,hammer,computer,umbrella,love,moon,79.983124,77.433148
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,tree,happiness,book,car,ocean,chair,music,diamond,planet,75.873444,75.118284
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,apple,love,car,tree,freedom,book,happiness,computer,dog,75.686249,76.563019
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,book,sun,tree,happiness,car,mountain,music,72.936737,73.529915
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,book,happiness,tree,ocean,computer,umbrella,love,chair,mountain,77.517632,75.803526
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,elephant,book,freedom,mountain,music,ocean,happiness,75.852470,74.612101
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,bird,chair,love,cloud,book,tree,music,lamp,beach,happiness,74.866692,75.108356
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,flower,chair,happiness,computer,elephant,sky,book,ocean,love,mountain,77.072380,74.938422
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,book,happiness,hammer,river,chair,galaxy,guitar,cloud,bicycle,83.345268,77.394100
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,happiness,mountain,book,sky,hammer,love,tree,bicycle,78.467842,74.332757
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,love,mountain,book,car,happiness,tree,pen,ocean,73.352730,75.037100
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,apple,happiness,mountain,book,umbrella,ocean,guitar,laughter,flower,77.619797,76.535437
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,happiness,mountain,guitar,book,hammer,laughter,ocean,key,80.266586,75.666512
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,cloud,love,book,tree,money,laughter,hammer,ocean,happiness,76.752441,76.611774
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,book,cloud,bicycle,happiness,tree,courage,music,77.788994,75.200700
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,banana,happiness,mountain,umbrella,book,airplane,guitar,laughter,ocean,78.370621,77.146440
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,book,happiness,mountain,chair,apple,freedom,water,music,sunshine,76.401505,76.158764
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,bicycle,book,sunlight,anger,cloud,music,ocean,80.235344,75.510589
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,happiness,tree,book,ocean,computer,friendship,cloud,money,76.785439,75.041377
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,book,mountain,happiness,car,tree,music,bread,75.783524,74.826543
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,book,star,hammer,time,cloud,music,laughter,76.786697,75.437292
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,tree,chair,happiness,book,rock,airplane,water,bicycle,love,computer,77.507454,74.321680
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,happiness,mountain,book,bicycle,love,sun,hammer,ocean,75.449715,74.385787
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,flower,chair,happiness,mountain,smartphone,book,sunlight,cookie,truth,elephant,82.101234,77.112362
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,book,chair,happiness,tree,car,water,computer,music,cloud,bicycle,76.906326,75.974086
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,apple,happiness,chair,ocean,book,freedom,music,mountain,cookie,76.873657,75.583074
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,ocean,tree,happiness,book,hammer,cloud,music,74.382660,74.117664
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,tree,chair,happiness,guitar,ocean,mountain,book,cloud,coffee,bicycle,76.347939,74.377938
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,moon,happiness,tree,book,hammer,laughter,ocean,cloud,music,76.412666,76.091897
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,book,cloud,hammer,freedom,ocean,laughter,planet,79.366920,75.637782
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,flower,chair,happiness,mountain,book,elephant,computer,sunshine,cookie,laughter,77.951065,75.617241
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,flower,chair,happiness,ocean,guitar,mountain,book,pineapple,rain,computer,77.266937,75.146385
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,happiness,cloud,banana,music,book,mountain,laptop,lemonade,80.268982,76.146352
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,banana,happiness,mountain,pencil,moon,freedom,car,book,coffee,77.378258,76.173663
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,apple,love,tree,car,book,happiness,hammer,mountain,ocean,74.844650,76.406125
