#,model,year,region,reasoning,provider,api_model_id,existing_samples_legacy,n_collected_new,parse_success_rate,mean_latency_ms,total_tokens,first_ts,last_ts,status
44,Kimi K2.5,2025,Eastern,No,qwen,kimi-k2.5,0,0,,,,,,live (added)
45,Qwen-Plus,2025,Eastern,No,qwen,qwen-plus,0,0,,,,,,live (added)
46,o4-mini,2025,Western,Yes,openai,o4-mini,0,10,100.0,5321,6996,2026-07-15T00:10:17.049Z,2026-07-15T00:11:21.748Z,live (added)
47,GPT-4.1,2025,Western,No,openai,gpt-4.1,0,10,100.0,774,1640,2026-07-15T00:11:27.146Z,2026-07-15T00:11:36.409Z,live (added)
48,Qwen3-30B-A3B-Instruct,2025,Eastern,No,qwen,qwen3-30b-a3b-instruct-2507,,0,,,,,,live (added 07-15: fast 1.4s)
49,DeepSeek V4 Flash,2025,Eastern,No,deepseek,deepseek-v4-flash,,0,,,,,,live (added 07-15: fast)
50,DeepSeek-Chat (native),2025,Eastern,No,deepseek,deepseek-chat,,0,,,,,,live (added 07-15: native endpoint 1.0s)
51,Claude Haiku 4.5,2025,Western,No,anthropic,claude-haiku-4-5-20251001,,0,,,,,,live (added 07-15)
52,Claude Opus 4.5,2025,Western,Yes,anthropic,claude-opus-4-5-20251101,,0,,,,,,live (added 07-15)
53,Grok 4.20 Reasoning,2026,Western,Yes,xai,grok-4.20-0309-reasoning,,0,,,,,,live (added 07-15)
54,GPT-5.1,2025,Western,Yes,openai,gpt-5.1-2025-11-13,,0,,,,,,live (added 07-15)
