model_name,provider,intelligence,dat_score,between_unit_posaware,uniqueness_human_agnostic,uniqueness_fixed_pool_legacy
GPT-3.5-Turbo,openai,all-rounder,76.515717,76.809425,77.882609,77.854946
GPT-3.5-Turbo,openai,all-rounder,75.807877,74.224299,78.087906,78.119186
GPT-3.5-Turbo,openai,all-rounder,80.911346,77.578094,79.798076,79.748580
GPT-3.5-Turbo,openai,all-rounder,78.200897,77.046590,79.258235,79.319834
GPT-3.5-Turbo,openai,all-rounder,76.639053,75.307166,77.999788,78.146663
GPT-3.5-Turbo,openai,all-rounder,75.285660,73.694893,77.626916,77.794336
GPT-3.5-Turbo,openai,all-rounder,75.536911,75.499297,77.425077,77.277501
GPT-3.5-Turbo,openai,all-rounder,75.487350,74.451417,77.925381,78.047310
GPT-3.5-Turbo,openai,all-rounder,74.751717,76.772721,78.695666,78.588808
GPT-3.5-Turbo,openai,all-rounder,73.041000,75.151305,77.262714,77.364533
GPT-3.5-Turbo,openai,all-rounder,75.647400,76.747725,78.982919,78.946928
GPT-3.5-Turbo,openai,all-rounder,76.258018,74.505377,78.309457,78.592476
GPT-3.5-Turbo,openai,all-rounder,76.548264,75.609630,78.215088,78.463504
GPT-3.5-Turbo,openai,all-rounder,76.262337,75.345516,78.948710,79.220004
GPT-3.5-Turbo,openai,all-rounder,75.783524,74.728724,78.400993,78.332004
GPT-3.5-Turbo,openai,all-rounder,74.371613,75.477352,78.403762,78.561988
GPT-3.5-Turbo,openai,all-rounder,81.114235,76.933970,78.840152,79.216025
GPT-3.5-Turbo,openai,all-rounder,77.445061,74.799881,78.760347,78.662695
GPT-3.5-Turbo,openai,all-rounder,77.692101,74.834434,79.049869,78.832046
GPT-3.5-Turbo,openai,all-rounder,77.197121,76.627870,78.561599,78.564158
GPT-3.5-Turbo,openai,all-rounder,75.658577,75.788356,78.118762,78.247300
GPT-3.5-Turbo,openai,all-rounder,78.029823,75.955950,79.250193,79.025551
GPT-3.5-Turbo,openai,all-rounder,75.289375,76.643897,77.988439,78.240096
GPT-3.5-Turbo,openai,all-rounder,78.056870,76.781729,78.874733,78.909630
GPT-3.5-Turbo,openai,all-rounder,73.674477,74.928895,77.825333,77.715820
GPT-3.5-Turbo,openai,all-rounder,74.197350,76.163040,76.922046,76.916942
GPT-3.5-Turbo,openai,all-rounder,78.686478,77.069539,79.261204,79.066755
GPT-3.5-Turbo,openai,all-rounder,76.664528,75.852168,78.286253,78.102761
GPT-3.5-Turbo,openai,all-rounder,75.376114,74.802543,77.502015,77.594335
GPT-3.5-Turbo,openai,all-rounder,75.424988,75.027307,79.194500,79.055301
GPT-3.5-Turbo,openai,all-rounder,79.634056,76.574595,79.081816,79.249985
GPT-3.5-Turbo,openai,all-rounder,72.110611,75.268000,77.328205,77.360568
GPT-3.5-Turbo,openai,all-rounder,78.307274,74.687807,79.620732,79.543201
GPT-3.5-Turbo,openai,all-rounder,78.271812,75.583612,79.226152,79.172037
GPT-3.5-Turbo,openai,all-rounder,80.123100,77.068316,80.323861,80.435224
GPT-3.5-Turbo,openai,all-rounder,74.927917,73.926479,77.937503,77.933414
GPT-3.5-Turbo,openai,all-rounder,75.551941,75.248126,77.735160,77.648533
GPT-3.5-Turbo,openai,all-rounder,78.594604,75.744809,78.009722,78.169465
GPT-3.5-Turbo,openai,all-rounder,77.006615,77.645004,78.262609,78.397492
GPT-3.5-Turbo,openai,all-rounder,72.516937,75.437404,77.431830,77.464698
GPT-3.5-Turbo,openai,all-rounder,76.778648,76.194526,78.892408,78.961716
GPT-3.5-Turbo,openai,all-rounder,74.815277,73.911512,77.917123,77.947592
GPT-3.5-Turbo,openai,all-rounder,78.066307,75.619731,78.584256,78.550118
GPT-3.5-Turbo,openai,all-rounder,77.692101,74.834434,78.724127,78.832046
GPT-3.5-Turbo,openai,all-rounder,76.065956,76.621528,79.399701,79.302382
GPT-3.5-Turbo,openai,all-rounder,75.613144,74.651924,77.526675,77.587423
GPT-3.5-Turbo,openai,all-rounder,80.968925,75.563434,80.239981,80.304279
GPT-3.5-Turbo,openai,all-rounder,79.213760,76.017758,78.803248,78.860649
GPT-3.5-Turbo,openai,all-rounder,72.851036,75.755691,76.673786,76.927872
GPT-3.5-Turbo,openai,all-rounder,75.543068,76.718630,78.188327,78.001107
GPT-3.5-Turbo,openai,all-rounder,75.376114,75.374666,77.731208,77.594335
GPT-3.5-Turbo,openai,all-rounder,79.989258,76.519947,80.309799,80.336692
GPT-3.5-Turbo,openai,all-rounder,76.401505,75.329054,78.961270,78.792691
GPT-3.5-Turbo,openai,all-rounder,72.721161,75.437954,78.470304,78.746709
GPT-3.5-Turbo,openai,all-rounder,77.389320,76.882154,77.727168,77.903035
GPT-3.5-Turbo,openai,all-rounder,78.491257,75.847747,79.149316,79.374422
GPT-3.5-Turbo,openai,all-rounder,73.956924,73.811798,77.593815,77.572229
GPT-3.5-Turbo,openai,all-rounder,78.325760,76.645756,78.558873,78.871702
GPT-3.5-Turbo,openai,all-rounder,76.868698,74.961139,79.091041,79.168055
GPT-3.5-Turbo,openai,all-rounder,79.634758,77.022603,79.662596,79.796849
GPT-3.5-Turbo,openai,all-rounder,74.915726,75.227278,78.538804,78.286299
GPT-3.5-Turbo,openai,all-rounder,80.640045,77.091630,79.521194,79.322902
GPT-3.5-Turbo,openai,all-rounder,75.873444,74.932253,77.425944,77.406686
GPT-3.5-Turbo,openai,all-rounder,76.506287,74.873893,78.730558,78.720608
GPT-3.5-Turbo,openai,all-rounder,77.712219,76.461959,78.833686,79.244574
GPT-3.5-Turbo,openai,all-rounder,77.584251,76.443143,78.654693,78.231485
GPT-3.5-Turbo,openai,all-rounder,74.442879,75.398334,77.269747,77.284986
GPT-3.5-Turbo,openai,all-rounder,82.678970,78.376590,80.381245,80.566210
GPT-3.5-Turbo,openai,all-rounder,77.276405,74.733473,78.731026,78.893328
GPT-3.5-Turbo,openai,all-rounder,73.707352,74.644588,77.543612,77.375130
GPT-3.5-Turbo,openai,all-rounder,75.193428,75.600919,78.116576,78.492016
GPT-3.5-Turbo,openai,all-rounder,78.996986,75.085821,78.860657,78.855258
GPT-3.5-Turbo,openai,all-rounder,80.625099,77.165179,79.765853,79.927618
GPT-3.5-Turbo,openai,all-rounder,76.992950,77.269017,79.742184,79.436572
GPT-3.5-Turbo,openai,all-rounder,75.809219,75.438487,78.236934,78.490876
GPT-3.5-Turbo,openai,all-rounder,79.533699,77.685361,79.497407,79.399827
GPT-3.5-Turbo,openai,all-rounder,78.915977,74.849078,79.557321,79.527686
GPT-3.5-Turbo,openai,all-rounder,74.391876,75.060207,78.251404,77.936360
GPT-3.5-Turbo,openai,all-rounder,75.916183,75.860180,79.097791,79.135030
GPT-3.5-Turbo,openai,all-rounder,76.186485,75.607592,77.904363,77.961386
GPT-3.5-Turbo,openai,all-rounder,75.281631,74.415962,78.239710,78.302714
GPT-3.5-Turbo,openai,all-rounder,75.449707,74.695172,78.595442,78.662630
GPT-3.5-Turbo,openai,all-rounder,76.051697,75.050536,78.827371,78.955829
GPT-3.5-Turbo,openai,all-rounder,79.143211,77.746069,78.652823,78.710960
GPT-3.5-Turbo,openai,all-rounder,77.446381,75.734616,77.961321,77.899999
GPT-3.5-Turbo,openai,all-rounder,77.135429,74.722413,78.736216,78.849462
GPT-3.5-Turbo,openai,all-rounder,79.983124,77.433148,79.421244,79.383927
GPT-3.5-Turbo,openai,all-rounder,75.873444,75.118284,77.344278,77.406686
GPT-3.5-Turbo,openai,all-rounder,75.686249,76.563019,77.938255,78.043618
GPT-3.5-Turbo,openai,all-rounder,72.936737,73.529915,77.543251,77.496068
GPT-3.5-Turbo,openai,all-rounder,77.517632,75.803526,78.142100,78.103189
GPT-3.5-Turbo,openai,all-rounder,75.852470,74.612101,78.330528,78.488485
GPT-3.5-Turbo,openai,all-rounder,74.866692,75.108356,78.139883,78.207429
GPT-3.5-Turbo,openai,all-rounder,77.072380,74.938422,78.173036,78.203086
GPT-3.5-Turbo,openai,all-rounder,83.345268,77.394100,80.705957,80.491729
GPT-3.5-Turbo,openai,all-rounder,78.467842,74.332757,78.465479,78.522906
GPT-3.5-Turbo,openai,all-rounder,73.352730,75.037100,77.702224,77.838691
GPT-3.5-Turbo,openai,all-rounder,77.619797,76.535437,78.856249,78.812210
GPT-3.5-Turbo,openai,all-rounder,80.266586,75.666512,79.721115,79.826114
GPT-3.5-Turbo,openai,all-rounder,76.752441,76.611774,78.885749,79.148948
GPT-3.5-Turbo,openai,all-rounder,77.788994,75.200700,79.342523,79.319430
GPT-3.5-Turbo,openai,all-rounder,78.370621,77.146440,79.008765,79.053627
GPT-3.5-Turbo,openai,all-rounder,76.401505,76.158764,78.643187,78.792691
GPT-3.5-Turbo,openai,all-rounder,80.235344,75.510589,79.314017,79.445795
GPT-3.5-Turbo,openai,all-rounder,76.785439,75.041377,77.727739,77.920106
GPT-3.5-Turbo,openai,all-rounder,75.783524,74.826543,78.277415,78.332004
GPT-3.5-Turbo,openai,all-rounder,76.786697,75.437292,78.838264,78.745423
GPT-3.5-Turbo,openai,all-rounder,77.507454,74.321680,77.919722,77.670301
GPT-3.5-Turbo,openai,all-rounder,75.449715,74.385787,78.772255,78.662630
GPT-3.5-Turbo,openai,all-rounder,82.101234,77.112362,80.376683,80.322728
GPT-3.5-Turbo,openai,all-rounder,76.906326,75.974086,77.442115,77.783400
GPT-3.5-Turbo,openai,all-rounder,76.873657,75.583074,78.656143,78.788862
GPT-3.5-Turbo,openai,all-rounder,74.382660,74.117664,77.851229,77.861539
GPT-3.5-Turbo,openai,all-rounder,76.347939,74.377938,78.552716,78.774469
GPT-3.5-Turbo,openai,all-rounder,76.412666,76.091897,78.961743,79.020050
GPT-3.5-Turbo,openai,all-rounder,79.366920,75.637782,79.693775,79.674617
GPT-3.5-Turbo,openai,all-rounder,77.951065,75.617241,78.490185,78.558208
GPT-3.5-Turbo,openai,all-rounder,77.266937,75.146385,79.079895,79.033378
GPT-3.5-Turbo,openai,all-rounder,80.268982,76.146352,79.692559,79.462045
GPT-3.5-Turbo,openai,all-rounder,77.378258,76.173663,78.654611,78.681225
GPT-3.5-Turbo,openai,all-rounder,74.844650,76.406125,77.756032,77.857846
GPT-3.5-Turbo,openai,all-rounder,78.228134,75.108798,79.567115,79.638942
GPT-3.5-Turbo,openai,all-rounder,79.231766,76.048260,78.724838,79.038501
GPT-3.5-Turbo,openai,all-rounder,76.761993,75.029104,78.672748,78.499848
GPT-3.5-Turbo,openai,all-rounder,76.524651,75.796478,77.798841,77.979396
GPT-3.5-Turbo,openai,all-rounder,74.260880,75.587651,77.668727,77.817801
GPT-3.5-Turbo,openai,all-rounder,81.024155,76.114690,79.503008,79.469600
GPT-3.5-Turbo,openai,all-rounder,75.084396,76.136480,78.905822,78.869987
GPT-3.5-Turbo,openai,all-rounder,74.426773,75.104596,77.561822,77.414207
GPT-3.5-Turbo,openai,all-rounder,74.434677,74.491673,78.329200,77.960313
GPT-3.5-Turbo,openai,all-rounder,73.726219,73.571815,78.092605,77.984404
GPT-3.5-Turbo,openai,all-rounder,76.003578,74.424217,78.722466,78.770057
GPT-3.5-Turbo,openai,all-rounder,80.172501,75.518732,79.652754,79.681730
GPT-3.5-Turbo,openai,all-rounder,74.842804,74.820150,77.138452,77.055393
GPT-3.5-Turbo,openai,all-rounder,76.139206,77.126331,78.762395,78.614602
GPT-3.5-Turbo,openai,all-rounder,74.777115,77.845477,78.845207,79.023923
GPT-3.5-Turbo,openai,all-rounder,74.019119,74.839227,77.816900,77.877953
GPT-3.5-Turbo,openai,all-rounder,78.610733,76.366166,79.147930,79.159480
GPT-3.5-Turbo,openai,all-rounder,79.318100,75.912414,79.710057,79.625345
GPT-3.5-Turbo,openai,all-rounder,77.555954,76.097839,79.059522,79.142278
GPT-3.5-Turbo,openai,all-rounder,72.158607,74.879581,77.040541,76.869740
GPT-3.5-Turbo,openai,all-rounder,77.692101,74.763360,78.525419,78.832046
GPT-3.5-Turbo,openai,all-rounder,74.844650,74.389661,77.796818,77.857846
GPT-3.5-Turbo,openai,all-rounder,74.935516,76.047493,78.137477,77.976883
GPT-3.5-Turbo,openai,all-rounder,80.309540,76.523695,80.288045,80.354108
GPT-3.5-Turbo,openai,all-rounder,77.522644,76.611893,78.360212,78.630732
GPT-3.5-Turbo,openai,all-rounder,74.488243,75.641432,77.826950,77.985969
GPT-3.5-Turbo,openai,all-rounder,80.716850,77.366777,80.076161,80.064213
GPT-3.5-Turbo,openai,all-rounder,73.770996,75.765151,77.608760,77.773884
GPT-3.5-Turbo,openai,all-rounder,72.943726,76.227378,78.131023,78.024129
GPT-3.5-Turbo,openai,all-rounder,76.838913,75.464869,78.736564,79.004358
GPT-3.5-Turbo,openai,all-rounder,76.876953,77.431949,79.317435,79.385483
GPT-3.5-Turbo,openai,all-rounder,77.307388,75.555817,78.570942,78.461104
GPT-3.5-Turbo,openai,all-rounder,73.956924,73.863915,77.552999,77.572229
GPT-3.5-Turbo,openai,all-rounder,75.918190,76.861820,78.313170,78.378805
GPT-3.5-Turbo,openai,all-rounder,76.014984,75.079664,78.747921,78.919017
GPT-3.5-Turbo,openai,all-rounder,78.199562,77.325897,79.637534,79.505202
GPT-3.5-Turbo,openai,all-rounder,73.837738,76.079867,77.505255,77.635609
GPT-3.5-Turbo,openai,all-rounder,75.873444,75.194079,77.514117,77.406686
GPT-3.5-Turbo,openai,all-rounder,76.668182,75.753477,79.414148,79.341744
GPT-3.5-Turbo,openai,all-rounder,78.691986,75.653779,79.038730,79.137798
GPT-3.5-Turbo,openai,all-rounder,79.010201,75.603584,78.345167,78.807443
GPT-3.5-Turbo,openai,all-rounder,78.064125,77.184372,79.560486,79.690161
GPT-3.5-Turbo,openai,all-rounder,75.301712,74.180549,77.435231,77.467037
GPT-3.5-Turbo,openai,all-rounder,77.114227,74.604554,79.349810,79.363301
GPT-3.5-Turbo,openai,all-rounder,78.454330,75.908415,78.352307,78.520038
GPT-3.5-Turbo,openai,all-rounder,75.475800,74.829653,78.017752,78.181109
GPT-3.5-Turbo,openai,all-rounder,77.619644,76.388891,78.542046,78.374157
GPT-3.5-Turbo,openai,all-rounder,80.301651,74.706730,78.719859,78.571464
GPT-3.5-Turbo,openai,all-rounder,76.868347,75.231539,79.389266,79.631569
GPT-3.5-Turbo,openai,all-rounder,79.646667,75.666772,79.655214,80.076732
GPT-3.5-Turbo,openai,all-rounder,76.181381,75.700571,78.901462,78.978489
GPT-3.5-Turbo,openai,all-rounder,76.310310,75.705118,78.878727,78.874549
GPT-3.5-Turbo,openai,all-rounder,74.537827,75.950859,78.317085,78.123215
GPT-3.5-Turbo,openai,all-rounder,77.097008,75.811904,79.528342,79.295442
GPT-3.5-Turbo,openai,all-rounder,77.418205,75.347309,77.855801,77.904313
GPT-3.5-Turbo,openai,all-rounder,74.915718,75.326962,78.136551,78.286299
GPT-3.5-Turbo,openai,all-rounder,77.754471,75.059069,78.451941,78.479830
GPT-3.5-Turbo,openai,all-rounder,78.329262,75.999410,79.280020,79.270812
GPT-3.5-Turbo,openai,all-rounder,74.743271,75.679205,77.602730,77.752832
GPT-3.5-Turbo,openai,all-rounder,80.087280,77.101418,78.857724,78.974653
GPT-3.5-Turbo,openai,all-rounder,77.692101,75.048628,78.946670,78.832046
GPT-3.5-Turbo,openai,all-rounder,73.886414,74.221853,77.789958,77.865368
GPT-3.5-Turbo,openai,all-rounder,80.484245,77.679280,78.937065,79.158200
GPT-3.5-Turbo,openai,all-rounder,76.902527,76.296474,79.425508,79.323982
GPT-3.5-Turbo,openai,all-rounder,78.761452,75.479862,79.895479,79.910752
GPT-3.5-Turbo,openai,all-rounder,74.402916,75.693427,78.518871,78.237395
GPT-3.5-Turbo,openai,all-rounder,80.098793,77.568188,80.462456,80.370689
GPT-3.5-Turbo,openai,all-rounder,79.338791,74.845886,78.878458,78.824852
GPT-3.5-Turbo,openai,all-rounder,76.868347,75.223079,79.724660,79.631569
GPT-3.5-Turbo,openai,all-rounder,80.338142,76.377697,78.887040,78.958614
GPT-3.5-Turbo,openai,all-rounder,73.788330,75.559662,77.144566,77.026365
GPT-3.5-Turbo,openai,all-rounder,77.797279,77.336051,79.394657,79.235727
GPT-3.5-Turbo,openai,all-rounder,78.012238,75.350805,78.578288,78.837784
GPT-3.5-Turbo,openai,all-rounder,73.362411,75.263710,77.685278,77.743588
GPT-3.5-Turbo,openai,all-rounder,74.810013,74.121481,77.962388,78.290128
GPT-3.5-Turbo,openai,all-rounder,77.180260,75.791426,78.484950,78.733840
GPT-3.5-Turbo,openai,all-rounder,75.747414,76.350274,77.598403,77.685779
GPT-3.5-Turbo,openai,all-rounder,74.483315,75.827598,78.413267,78.707724
GPT-3.5-Turbo,openai,all-rounder,77.027061,74.092884,77.290103,77.298148
GPT-3.5-Turbo,openai,all-rounder,76.503029,76.099493,77.919127,77.865057
GPT-3.5-Turbo,openai,all-rounder,78.665817,75.941880,78.567852,78.484412
GPT-3.5-Turbo,openai,all-rounder,76.932770,75.189654,79.710880,79.635398
GPT-3.5-Turbo,openai,all-rounder,75.176094,74.850850,78.073461,78.133854
GPT-3.5-Turbo,openai,all-rounder,75.455559,75.583359,78.525349,78.319821
GPT-3.5-Turbo,openai,all-rounder,77.446365,76.015682,77.786550,77.899999
GPT-3.5-Turbo,openai,all-rounder,78.400749,75.165680,79.020621,79.013988
GPT-3.5-Turbo,openai,all-rounder,76.003586,74.662527,78.698115,78.770057
GPT-3.5-Turbo,openai,all-rounder,75.204895,74.336928,78.347422,78.521468
GPT-3.5-Turbo,openai,all-rounder,76.271385,74.936516,78.690847,78.679387
GPT-3.5-Turbo,openai,all-rounder,78.884193,75.518199,79.459460,79.488845
GPT-3.5-Turbo,openai,all-rounder,81.257668,75.658075,79.500934,79.657744
GPT-3.5-Turbo,openai,all-rounder,76.336258,74.618917,79.174419,79.201037
GPT-3.5-Turbo,openai,all-rounder,75.852470,74.612739,78.678581,78.488485
GPT-3.5-Turbo,openai,all-rounder,73.208954,73.754519,78.058885,77.966397
GPT-3.5-Turbo,openai,all-rounder,79.585770,75.369949,79.916091,79.990394
GPT-3.5-Turbo,openai,all-rounder,75.863045,75.889195,77.434648,77.665136
GPT-3.5-Turbo,openai,all-rounder,79.005363,76.133130,79.003525,78.899285
GPT-3.5-Turbo,openai,all-rounder,79.811722,76.931363,78.642968,78.599565
GPT-3.5-Turbo,openai,all-rounder,77.803162,76.375522,78.353215,78.440541
GPT-3.5-Turbo,openai,all-rounder,76.234177,76.439683,78.349062,78.582090
GPT-3.5-Turbo,openai,all-rounder,75.248161,76.173697,77.456794,77.431677
GPT-3.5-Turbo,openai,all-rounder,72.707581,75.015375,77.033378,77.378118
GPT-3.5-Turbo,openai,all-rounder,75.468346,74.014124,78.105658,78.298885
GPT-3.5-Turbo,openai,all-rounder,77.965546,75.920410,78.252358,78.422429
GPT-3.5-Turbo,openai,all-rounder,75.270660,74.998247,77.526508,77.707469
GPT-3.5-Turbo,openai,all-rounder,77.619797,74.639387,78.670098,78.812210
GPT-3.5-Turbo,openai,all-rounder,74.573586,74.203398,76.941065,77.325288
GPT-3.5-Turbo,openai,all-rounder,73.903442,75.881489,76.967277,77.140481
GPT-3.5-Turbo,openai,all-rounder,77.932549,75.021457,79.402159,79.524495
GPT-3.5-Turbo,openai,all-rounder,79.366920,75.637782,79.571297,79.674617
GPT-3.5-Turbo,openai,all-rounder,76.497124,76.278590,77.946722,78.328589
GPT-3.5-Turbo,openai,all-rounder,74.683495,74.032823,78.153018,78.335696
GPT-3.5-Turbo,openai,all-rounder,79.366913,75.501183,79.521687,79.674617
GPT-3.5-Turbo,openai,all-rounder,74.915726,74.888055,78.550332,78.286299
GPT-3.5-Turbo,openai,all-rounder,75.775078,74.684880,77.416773,77.507119
GPT-3.5-Turbo,openai,all-rounder,77.565384,75.848115,78.977368,78.982620
GPT-3.5-Turbo,openai,all-rounder,74.815277,73.911512,78.080429,77.947592
GPT-3.5-Turbo,openai,all-rounder,75.807877,74.224299,77.955433,78.119186
GPT-3.5-Turbo,openai,all-rounder,78.444466,77.777535,79.346332,79.300542
GPT-3.5-Turbo,openai,all-rounder,76.500198,75.361046,78.460859,78.645592
GPT-3.5-Turbo,openai,all-rounder,76.761452,75.135907,78.905955,78.902774
GPT-3.5-Turbo,openai,all-rounder,74.345276,74.208129,77.480087,77.523342
GPT-3.5-Turbo,openai,all-rounder,74.087547,75.510172,78.596144,78.713787
GPT-3.5-Turbo,openai,all-rounder,72.994766,74.437031,78.662016,78.684726
GPT-3.5-Turbo,openai,all-rounder,79.037979,75.806239,79.469936,79.678161
GPT-3.5-Turbo,openai,all-rounder,77.692101,76.279552,78.920747,78.832046
GPT-3.5-Turbo,openai,all-rounder,78.350204,76.587991,79.163742,79.320918
GPT-3.5-Turbo,openai,all-rounder,77.965530,76.080689,78.213255,78.422429
GPT-3.5-Turbo,openai,all-rounder,75.958321,75.684935,80.054405,80.005000
GPT-3.5-Turbo,openai,all-rounder,75.907722,75.199958,78.093989,78.243200
GPT-3.5-Turbo,openai,all-rounder,81.201065,76.508991,79.740895,79.726664
GPT-3.5-Turbo,openai,all-rounder,79.413887,77.041461,79.452501,79.418716
GPT-3.5-Turbo,openai,all-rounder,75.435432,75.620589,78.348858,78.338064
GPT-3.5-Turbo,openai,all-rounder,74.992401,76.045376,78.642199,78.446828
GPT-3.5-Turbo,openai,all-rounder,77.296402,76.306471,79.241433,79.204581
GPT-3.5-Turbo,openai,all-rounder,77.446365,75.775567,77.840960,77.899999
GPT-3.5-Turbo,openai,all-rounder,78.421906,75.800870,79.729353,79.758913
GPT-3.5-Turbo,openai,all-rounder,73.931297,76.804920,78.719719,78.793217
GPT-3.5-Turbo,openai,all-rounder,80.867867,77.845347,79.897638,79.819848
GPT-3.5-Turbo,openai,all-rounder,75.783524,74.897618,78.097671,78.332004
GPT-3.5-Turbo,openai,all-rounder,74.541267,75.776158,78.157698,78.251128
GPT-3.5-Turbo,openai,all-rounder,75.489075,76.213121,78.617703,78.698924
GPT-3.5-Turbo,openai,all-rounder,77.692101,75.119703,78.830920,78.832046
GPT-3.5-Turbo,openai,all-rounder,78.143570,76.565610,78.975224,79.009205
GPT-3.5-Turbo,openai,all-rounder,77.692101,74.453975,78.954736,78.832046
GPT-3.5-Turbo,openai,all-rounder,77.772804,76.019595,78.751544,78.778931
GPT-3.5-Turbo,openai,all-rounder,78.556488,75.097657,78.428761,78.586176
GPT-3.5-Turbo,openai,all-rounder,77.963547,75.087712,79.413246,79.359608
GPT-3.5-Turbo,openai,all-rounder,74.019112,75.378663,77.952232,77.877953
